level,levelNameEnglish,levelNameArabic,day,dayTheme,situationNo,sceneId,targetPhraseId,situationContext,friendlyLatin,darijaArabicSupport,englishMeaning,possibleMoroccanReply,cultureNoteEnglish,pronunciationParts,imagePromptSeed,videoActionSeed,sourceKeys,status,mediaRule
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,3,الغرفة والمفتاح والحقائب,1,L02-D03-S01,L02-D03-P01,The learner receives check-in and asks where to go.,fin l-bit dyali aafak?,فين البيت ديالي عافاك؟,"Where is my room, please?",f l-fouq / m3aya,This is a core riad/hotel navigation phrase.,fin l-bit / dyali aafak,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 3: الغرفة والمفتاح والحقائب. Show a foreign learner politely handling this situation: The learner receives check-in and asks where to go.. Visual focus: the phrase 'fin l-bit dyali aafak?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'الغرفة والمفتاح والحقائب'. Trigger: The learner receives check-in and asks where to go.. Learner says 'fin l-bit dyali aafak?'. Moroccan host/staff replies 'f l-fouq / m3aya'. End with clear action showing the problem/request resolved.,daily_darija_hotel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,3,الغرفة والمفتاح والحقائب,2,L02-D03-S02,L02-D03-P02,The learner needs the key at reception.,fin l-kle dyal l-bit?,فين الكلي ديال البيت؟,Where is the room key?,ha l-kle,French loanword clé/key is common in Moroccan speech.,fin l-kle / dyal l-bit,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 3: الغرفة والمفتاح والحقائب. Show a foreign learner politely handling this situation: The learner needs the key at reception.. Visual focus: the phrase 'fin l-kle dyal l-bit?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'الغرفة والمفتاح والحقائب'. Trigger: The learner needs the key at reception.. Learner says 'fin l-kle dyal l-bit?'. Moroccan host/staff replies 'ha l-kle'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,3,الغرفة والمفتاح والحقائب,3,L02-D03-S03,L02-D03-P03,The learner politely signals they need help with luggage.,had shnati tqila shwiya,هاد شنطتي تقيلة شوية,My suitcase is a little heavy.,n3awnk?,Indirect request sounds more polite than demanding help.,had shnati / tqila shwiya,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 3: الغرفة والمفتاح والحقائب. Show a foreign learner politely handling this situation: The learner politely signals they need help with luggage.. Visual focus: the phrase 'had shnati tqila shwiya' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'الغرفة والمفتاح والحقائب'. Trigger: The learner politely signals they need help with luggage.. Learner says 'had shnati tqila shwiya'. Moroccan host/staff replies 'n3awnk?'. End with clear action showing the problem/request resolved.,daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,3,الغرفة والمفتاح والحقائب,4,L02-D03-S04,L02-D03-P04,The room is not ready or the learner will go out.,nqder nkhli shnati hna?,نقدر نخلي شنطتي هنا؟,Can I leave my suitcase here?,"iyeh, khlliha hna",Luggage storage is common before check-in or after check-out.,nqder nkhli / shnati hna,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 3: الغرفة والمفتاح والحقائب. Show a foreign learner politely handling this situation: The room is not ready or the learner will go out.. Visual focus: the phrase 'nqder nkhli shnati hna?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الغرفة والمفتاح والحقائب'. Trigger: The room is not ready or the learner will go out.. Learner says 'nqder nkhli shnati hna?'. Moroccan host/staff replies 'iyeh, khlliha hna'. End with clear action showing the problem/request resolved.",bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,3,الغرفة والمفتاح والحقائب,5,L02-D03-S05,L02-D03-P05,The staff helps with key or bags and the learner closes politely.,shukran ala l-musaada,شكرا على المساعدة,Thank you for the help.,bla jmil,Warm thanks are central in guest-host exchanges.,shukran / ala / l-musaada,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 3: الغرفة والمفتاح والحقائب. Show a foreign learner politely handling this situation: The staff helps with key or bags and the learner closes politely.. Visual focus: the phrase 'shukran ala l-musaada' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'الغرفة والمفتاح والحقائب'. Trigger: The staff helps with key or bags and the learner closes politely.. Learner says 'shukran ala l-musaada'. Moroccan host/staff replies 'bla jmil'. End with clear action showing the problem/request resolved.,daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,4,السؤال عن Wi‑Fi والمرافق,1,L02-D04-S01,L02-D04-P01,The learner arrives and needs internet access.,kayn wifi?,كاين ويفي؟,Is there Wi‑Fi?,iyeh kayn,Wi‑Fi questions appear in hotel/riad phrase guides and are essential for travelers.,kayn / wifi,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 4: السؤال عن Wi‑Fi والمرافق. Show a foreign learner politely handling this situation: The learner arrives and needs internet access.. Visual focus: the phrase 'kayn wifi?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'السؤال عن Wi‑Fi والمرافق'. Trigger: The learner arrives and needs internet access.. Learner says 'kayn wifi?'. Moroccan host/staff replies 'iyeh kayn'. End with clear action showing the problem/request resolved.,daily_darija_hotel;first_time_wifi_whatsapp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,4,السؤال عن Wi‑Fi والمرافق,2,L02-D04-S02,L02-D04-P02,The learner asks for the Wi‑Fi code.,shno l-code dyal l-wifi?,شنو الكود ديال الويفي؟,What is the Wi‑Fi password?,ha l-code,A code/password question is common at riads and cafés.,shno l-code / dyal l-wifi,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 4: السؤال عن Wi‑Fi والمرافق. Show a foreign learner politely handling this situation: The learner asks for the Wi‑Fi code.. Visual focus: the phrase 'shno l-code dyal l-wifi?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'السؤال عن Wi‑Fi والمرافق'. Trigger: The learner asks for the Wi‑Fi code.. Learner says 'shno l-code dyal l-wifi?'. Moroccan host/staff replies 'ha l-code'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,4,السؤال عن Wi‑Fi والمرافق,3,L02-D04-S03,L02-D04-P03,The learner asks for a bathroom inside the riad.,fin l-hmam aafak?,فين الحمام عافاك؟,"Where is the bathroom, please?",hna ala limn,Keep it simple: location phrases remain useful across levels.,fin / l-hmam / aafak,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 4: السؤال عن Wi‑Fi والمرافق. Show a foreign learner politely handling this situation: The learner asks for a bathroom inside the riad.. Visual focus: the phrase 'fin l-hmam aafak?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'السؤال عن Wi‑Fi والمرافق'. Trigger: The learner asks for a bathroom inside the riad.. Learner says 'fin l-hmam aafak?'. Moroccan host/staff replies 'hna ala limn'. End with clear action showing the problem/request resolved.,darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,4,السؤال عن Wi‑Fi والمرافق,4,L02-D04-S04,L02-D04-P04,The learner hears there is a terrace and asks where it is.,fin stah?,فين السطح؟,Where is the rooftop?,f l-fouq,Rooftop terraces are common in riads; useful for realistic visuals.,fin / stah,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 4: السؤال عن Wi‑Fi والمرافق. Show a foreign learner politely handling this situation: The learner hears there is a terrace and asks where it is.. Visual focus: the phrase 'fin stah?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'السؤال عن Wi‑Fi والمرافق'. Trigger: The learner hears there is a terrace and asks where it is.. Learner says 'fin stah?'. Moroccan host/staff replies 'f l-fouq'. End with clear action showing the problem/request resolved.,gateway_accommodation,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,4,السؤال عن Wi‑Fi والمرافق,5,L02-D04-S05,L02-D04-P05,The learner asks about hot water.,wash kayn l-ma skhon?,واش كاين الما سخون؟,Is there hot water?,iyeh kayn,Hot water is a practical accommodation need and easy to visualize.,wash kayn / l-ma skhon,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 4: السؤال عن Wi‑Fi والمرافق. Show a foreign learner politely handling this situation: The learner asks about hot water.. Visual focus: the phrase 'wash kayn l-ma skhon?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'السؤال عن Wi‑Fi والمرافق'. Trigger: The learner asks about hot water.. Learner says 'wash kayn l-ma skhon?'. Moroccan host/staff replies 'iyeh kayn'. End with clear action showing the problem/request resolved.,daily_darija_hotel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,5,الفطور المغربي في الرياض,1,L02-D05-S01,L02-D05-P01,The learner asks the breakfast time.,imta l-ftor?,إيمتا الفطور؟,What time is breakfast?,m3a tmnya,Breakfast time appears in hotel/riad scenarios.,imta / l-ftor,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 5: الفطور المغربي في الرياض. Show a foreign learner politely handling this situation: The learner asks the breakfast time.. Visual focus: the phrase 'imta l-ftor?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'الفطور المغربي في الرياض'. Trigger: The learner asks the breakfast time.. Learner says 'imta l-ftor?'. Moroccan host/staff replies 'm3a tmnya'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,5,الفطور المغربي في الرياض,2,L02-D05-S02,L02-D05-P02,The learner checks if breakfast is included.,wash l-ftor dakhel f l-hsab?,واش الفطور داخل فالحساب؟,Is breakfast included in the price?,iyeh dakhel,Breakfast is often part of riad stays and important to ask about.,wash l-ftor / dakhel f / l-hsab,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 5: الفطور المغربي في الرياض. Show a foreign learner politely handling this situation: The learner checks if breakfast is included.. Visual focus: the phrase 'wash l-ftor dakhel f l-hsab?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'الفطور المغربي في الرياض'. Trigger: The learner checks if breakfast is included.. Learner says 'wash l-ftor dakhel f l-hsab?'. Moroccan host/staff replies 'iyeh dakhel'. End with clear action showing the problem/request resolved.,daily_darija_hotel;gateway_accommodation,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,5,الفطور المغربي في الرياض,3,L02-D05-S03,L02-D05-P03,"The learner needs the location: patio, terrace, room.",fin nakol l-ftor?,فين ناكل الفطور؟,Where do I eat breakfast?,f stah / hna,"Riad breakfast may be on a terrace or courtyard, so location matters.",fin / nakol / l-ftor,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 5: الفطور المغربي في الرياض. Show a foreign learner politely handling this situation: The learner needs the location: patio, terrace, room.. Visual focus: the phrase 'fin nakol l-ftor?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الفطور المغربي في الرياض'. Trigger: The learner needs the location: patio, terrace, room.. Learner says 'fin nakol l-ftor?'. Moroccan host/staff replies 'f stah / hna'. End with clear action showing the problem/request resolved.",bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,5,الفطور المغربي في الرياض,4,L02-D05-S04,L02-D05-P04,The learner customizes Moroccan tea politely.,bghit atay bla sokar aafak,بغيت أتاي بلا سكر عافاك,"I would like tea without sugar, please.",wakha,"Tea is central, but sugar preference should be asked politely.",bghit atay / bla sokar / aafak,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 5: الفطور المغربي في الرياض. Show a foreign learner politely handling this situation: The learner customizes Moroccan tea politely.. Visual focus: the phrase 'bghit atay bla sokar aafak' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'الفطور المغربي في الرياض'. Trigger: The learner customizes Moroccan tea politely.. Learner says 'bghit atay bla sokar aafak'. Moroccan host/staff replies 'wakha'. End with clear action showing the problem/request resolved.,tea_culture,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,5,الفطور المغربي في الرياض,5,L02-D05-S05,L02-D05-P05,The learner compliments breakfast.,"l-ftor bnin, shukran",الفطور بنين، شكرا,"Breakfast is delicious, thank you.",bsaha,Complimenting food is a warm cultural response.,l-ftor bnin / shukran,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 5: الفطور المغربي في الرياض. Show a foreign learner politely handling this situation: The learner compliments breakfast.. Visual focus: the phrase 'l-ftor bnin, shukran' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الفطور المغربي في الرياض'. Trigger: The learner compliments breakfast.. Learner says 'l-ftor bnin, shukran'. Moroccan host/staff replies 'bsaha'. End with clear action showing the problem/request resolved.",food_etiquette,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,6,طلب الشاي والماء بأدب,1,L02-D06-S01,L02-D06-P01,The learner asks for tea in a riad/home.,nqder nakhod atay?,نقدر ناخد أتاي؟,Can I have tea?,"iyeh, daba","Ask gently; tea is hospitality, not just a drink.",nqder / nakhod / atay,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 6: طلب الشاي والماء بأدب. Show a foreign learner politely handling this situation: The learner asks for tea in a riad/home.. Visual focus: the phrase 'nqder nakhod atay?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب الشاي والماء بأدب'. Trigger: The learner asks for tea in a riad/home.. Learner says 'nqder nakhod atay?'. Moroccan host/staff replies 'iyeh, daba'. End with clear action showing the problem/request resolved.",tea_culture,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,6,طلب الشاي والماء بأدب,2,L02-D06-S02,L02-D06-P02,The learner asks for water after arriving.,bghit kas dyal l-ma aafak,بغيت كاس ديال الما عافاك,"I would like a glass of water, please.",wakha,Water requests should be simple and polite.,bghit kas / dyal l-ma / aafak,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 6: طلب الشاي والماء بأدب. Show a foreign learner politely handling this situation: The learner asks for water after arriving.. Visual focus: the phrase 'bghit kas dyal l-ma aafak' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'طلب الشاي والماء بأدب'. Trigger: The learner asks for water after arriving.. Learner says 'bghit kas dyal l-ma aafak'. Moroccan host/staff replies 'wakha'. End with clear action showing the problem/request resolved.,darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
