level,day,week,phraseNumber,phraseId,dayTitle,scenario,friendlyLatin,arabic,english,possibleMoroccanReply,cultureNote,status,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual
6,4,1,1,L06-D04-P01,الحديث عن عائلتك,You say your family is small.,3ailti sghira,عائلتي صغيرة,My family is small.,mzyan,Simple personal details build trust.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day04/l06-d04-p01-normal.mp3,assets/audio/level06/day04/l06-d04-p01-slow.mp3,assets/video/level06/day04/l06-d04-p01-scene.mp4,assets/images/video-posters/level06/day04/l06-d04-p01-poster.webp,assets/images/lesson-scenes/level06/day04/l06-d04-p01-scene.webp
6,4,1,2,L06-D04-P02,الحديث عن عائلتك,You say you have a brother and a sister.,3andi khoya w okht,عندي خويا و أخت,I have a brother and a sister.,allah ykhlihom lik,Family vocabulary helps conversations feel human.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day04/l06-d04-p02-normal.mp3,assets/audio/level06/day04/l06-d04-p02-slow.mp3,assets/video/level06/day04/l06-d04-p02-scene.mp4,assets/images/video-posters/level06/day04/l06-d04-p02-poster.webp,assets/images/lesson-scenes/level06/day04/l06-d04-p02-scene.webp
6,4,1,3,L06-D04-P03,الحديث عن عائلتك,You say your parents are fine.,l-walidin dyali bikhir lhamdullah,الوالدين ديالي بخير الحمد لله,"My parents are fine, thank God.",lhamdullah,Lhamdullah is natural when talking about wellbeing.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day04/l06-d04-p03-normal.mp3,assets/audio/level06/day04/l06-d04-p03-slow.mp3,assets/video/level06/day04/l06-d04-p03-scene.mp4,assets/images/video-posters/level06/day04/l06-d04-p03-poster.webp,assets/images/lesson-scenes/level06/day04/l06-d04-p03-scene.webp
6,4,1,4,L06-D04-P04,الحديث عن عائلتك,You say you are far from home.,ana b3id 3la dar,أنا بعيد على الدار,I am far from home.,"safi, nta f-darna daba",Moroccan hosts may respond warmly when you mention distance.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day04/l06-d04-p04-normal.mp3,assets/audio/level06/day04/l06-d04-p04-slow.mp3,assets/video/level06/day04/l06-d04-p04-scene.mp4,assets/images/video-posters/level06/day04/l06-d04-p04-poster.webp,assets/images/lesson-scenes/level06/day04/l06-d04-p04-scene.webp
6,4,1,5,L06-D04-P05,الحديث عن عائلتك,You say you talk to them on WhatsApp.,kanhder m3ahom f-whatsapp,كنهضر معاهم فواتساب,I talk with them on WhatsApp.,mzyan,WhatsApp is a natural bridge for family contact.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day04/l06-d04-p05-normal.mp3,assets/audio/level06/day04/l06-d04-p05-slow.mp3,assets/video/level06/day04/l06-d04-p05-scene.mp4,assets/images/video-posters/level06/day04/l06-d04-p05-poster.webp,assets/images/lesson-scenes/level06/day04/l06-d04-p05-scene.webp
6,5,1,1,L06-D05-P01,الأتاي داخل العائلة,You ask for a little tea.,bghit atay shwiya,بغيت أتاي شوية,I would like a little tea.,wakha,Accepting at least some tea is often polite.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day05/l06-d05-p01-normal.mp3,assets/audio/level06/day05/l06-d05-p01-slow.mp3,assets/video/level06/day05/l06-d05-p01-scene.mp4,assets/images/video-posters/level06/day05/l06-d05-p01-poster.webp,assets/images/lesson-scenes/level06/day05/l06-d05-p01-scene.webp
6,5,1,2,L06-D05-P02,الأتاي داخل العائلة,You compliment the tea.,l-atay mzyan bzzaf,الأتاي مزيان بزاف,The tea is very good.,bssaha,"Tea is a symbol of hospitality, so a compliment is meaningful.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day05/l06-d05-p02-normal.mp3,assets/audio/level06/day05/l06-d05-p02-slow.mp3,assets/video/level06/day05/l06-d05-p02-scene.mp4,assets/images/video-posters/level06/day05/l06-d05-p02-poster.webp,assets/images/lesson-scenes/level06/day05/l06-d05-p02-scene.webp
6,5,1,3,L06-D05-P03,الأتاي داخل العائلة,You ask for no sugar.,bla sokkar aafak,بلا سكر عافاك,"Without sugar, please.","wakha, bla sokkar",Say it gently because Moroccan tea is often sweet.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day05/l06-d05-p03-normal.mp3,assets/audio/level06/day05/l06-d05-p03-slow.mp3,assets/video/level06/day05/l06-d05-p03-scene.mp4,assets/images/video-posters/level06/day05/l06-d05-p03-poster.webp,assets/images/lesson-scenes/level06/day05/l06-d05-p03-scene.webp
6,5,1,4,L06-D05-P04,الأتاي داخل العائلة,You compliment the mint.,n-naanaa zwin,النعناع زوين,The mint is nice.,"iyeh, hada naanaa mzyan",Small sensory compliments fit tea culture.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day05/l06-d05-p04-normal.mp3,assets/audio/level06/day05/l06-d05-p04-slow.mp3,assets/video/level06/day05/l06-d05-p04-scene.mp4,assets/images/video-posters/level06/day05/l06-d05-p04-poster.webp,assets/images/lesson-scenes/level06/day05/l06-d05-p04-scene.webp
6,5,1,5,L06-D05-P05,الأتاي داخل العائلة,You thank them for tea.,shukran 3la l-atay,شكراً على الأتاي,Thank you for the tea.,bssaha,Thanking for tea is also thanking for hospitality.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day05/l06-d05-p05-normal.mp3,assets/audio/level06/day05/l06-d05-p05-slow.mp3,assets/video/level06/day05/l06-d05-p05-scene.mp4,assets/images/video-posters/level06/day05/l06-d05-p05-poster.webp,assets/images/lesson-scenes/level06/day05/l06-d05-p05-scene.webp
6,6,1,1,L06-D06-P01,مدح الدار والجو,You compliment the house.,dar zwina bzzaf,الدار زوينة بزاف,The house is very beautiful.,allah yhafdk,Compliment the home respectfully; it honors the host.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day06/l06-d06-p01-normal.mp3,assets/audio/level06/day06/l06-d06-p01-slow.mp3,assets/video/level06/day06/l06-d06-p01-scene.mp4,assets/images/video-posters/level06/day06/l06-d06-p01-poster.webp,assets/images/lesson-scenes/level06/day06/l06-d06-p01-scene.webp
6,6,1,2,L06-D06-P02,مدح الدار والجو,You compliment the riad or sitting space.,l-jlsa mrtiha,الجلسة مرتاحة,The sitting place is comfortable.,bssaha,Comfort and welcome are part of Moroccan hosting.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day06/l06-d06-p02-normal.mp3,assets/audio/level06/day06/l06-d06-p02-slow.mp3,assets/video/level06/day06/l06-d06-p02-scene.mp4,assets/images/video-posters/level06/day06/l06-d06-p02-poster.webp,assets/images/lesson-scenes/level06/day06/l06-d06-p02-scene.webp
6,6,1,3,L06-D06-P03,مدح الدار والجو,You compliment Moroccan decoration.,d-decor l-mghribi zwin,الديكور المغربي زوين,The Moroccan decoration is beautiful.,shukran,This ties language to visual culture.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day06/l06-d06-p03-normal.mp3,assets/audio/level06/day06/l06-d06-p03-slow.mp3,assets/video/level06/day06/l06-d06-p03-scene.mp4,assets/images/video-posters/level06/day06/l06-d06-p03-poster.webp,assets/images/lesson-scenes/level06/day06/l06-d06-p03-scene.webp
6,6,1,4,L06-D06-P04,مدح الدار والجو,You say the atmosphere is warm.,l-jaw hna dafi,الجو هنا دافي,The atmosphere here is warm.,marhba bik,"Warmth can mean emotional comfort, not just temperature.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day06/l06-d06-p04-normal.mp3,assets/audio/level06/day06/l06-d06-p04-slow.mp3,assets/video/level06/day06/l06-d06-p04-scene.mp4,assets/images/video-posters/level06/day06/l06-d06-p04-poster.webp,assets/images/lesson-scenes/level06/day06/l06-d06-p04-scene.webp
6,6,1,5,L06-D06-P05,مدح الدار والجو,You bless the host for the effort.,allah y3tikom saha,الله يعطيكم الصحة,May God give you health.,amin,This is a strong Moroccan thank-you for effort or hosting.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day06/l06-d06-p05-normal.mp3,assets/audio/level06/day06/l06-d06-p05-slow.mp3,assets/video/level06/day06/l06-d06-p05-scene.mp4,assets/images/video-posters/level06/day06/l06-d06-p05-poster.webp,assets/images/lesson-scenes/level06/day06/l06-d06-p05-scene.webp
6,7,1,1,L06-D07-P01,مراجعة الزيارة الأولى,You say you are happy to visit.,ferhan nji 3ndkom,فرحان نجي عندكم,I am happy to visit you.,hna ferhanin bik,A warm opening fits a family visit.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day07/l06-d07-p01-normal.mp3,assets/audio/level06/day07/l06-d07-p01-slow.mp3,assets/video/level06/day07/l06-d07-p01-scene.mp4,assets/images/video-posters/level06/day07/l06-d07-p01-poster.webp,assets/images/lesson-scenes/level06/day07/l06-d07-p01-scene.webp
6,7,1,2,L06-D07-P02,مراجعة الزيارة الأولى,You thank them for the welcome.,shukran 3la l-marhba,شكراً على المرحبا,Thank you for the welcome.,marhba bik dima,Marhba is not just a word; it is an attitude.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day07/l06-d07-p02-normal.mp3,assets/audio/level06/day07/l06-d07-p02-slow.mp3,assets/video/level06/day07/l06-d07-p02-scene.mp4,assets/images/video-posters/level06/day07/l06-d07-p02-poster.webp,assets/images/lesson-scenes/level06/day07/l06-d07-p02-scene.webp
6,7,1,3,L06-D07-P03,مراجعة الزيارة الأولى,You ask if the family is well.,l-3aila bikhir?,العائلة بخير؟,Is the family well?,bikhir lhamdullah,This repeats the family-care habit.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day07/l06-d07-p03-normal.mp3,assets/audio/level06/day07/l06-d07-p03-slow.mp3,assets/video/level06/day07/l06-d07-p03-scene.mp4,assets/images/video-posters/level06/day07/l06-d07-p03-poster.webp,assets/images/lesson-scenes/level06/day07/l06-d07-p03-scene.webp
6,7,1,4,L06-D07-P04,مراجعة الزيارة الأولى,You say the tea was good.,l-atay kan mzyan,الأتاي كان مزيان,The tea was good.,bssaha,Review phrases should still feel like real speech.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day07/l06-d07-p04-normal.mp3,assets/audio/level06/day07/l06-d07-p04-slow.mp3,assets/video/level06/day07/l06-d07-p04-scene.mp4,assets/images/video-posters/level06/day07/l06-d07-p04-poster.webp,assets/images/lesson-scenes/level06/day07/l06-d07-p04-scene.webp
6,7,1,5,L06-D07-P05,مراجعة الزيارة الأولى,You say goodbye warmly.,bslama w nshofkom qrib,بسلامة و نشوفكم قريب,"Goodbye, see you soon.",inshallah,A warm goodbye leaves the door open for future contact.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day07/l06-d07-p05-normal.mp3,assets/audio/level06/day07/l06-d07-p05-slow.mp3,assets/video/level06/day07/l06-d07-p05-scene.mp4,assets/images/video-posters/level06/day07/l06-d07-p05-poster.webp,assets/images/lesson-scenes/level06/day07/l06-d07-p05-scene.webp
6,8,2,1,L06-D08-P01,آداب الأكل مع العائلة,You bless the meal.,bssaha,بالصحة,Enjoy your meal / with health.,lah y3tik saha,Bssaha is common around food and drink.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day08/l06-d08-p01-normal.mp3,assets/audio/level06/day08/l06-d08-p01-slow.mp3,assets/video/level06/day08/l06-d08-p01-scene.mp4,assets/images/video-posters/level06/day08/l06-d08-p01-poster.webp,assets/images/lesson-scenes/level06/day08/l06-d08-p01-scene.webp
6,8,2,2,L06-D08-P02,آداب الأكل مع العائلة,You compliment the food.,l-makla bnina bzzaf,الماكلة بنينة بزاف,The food is very delicious.,bssaha,Food compliments matter in Moroccan hospitality.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day08/l06-d08-p02-normal.mp3,assets/audio/level06/day08/l06-d08-p02-slow.mp3,assets/video/level06/day08/l06-d08-p02-scene.mp4,assets/images/video-posters/level06/day08/l06-d08-p02-poster.webp,assets/images/lesson-scenes/level06/day08/l06-d08-p02-scene.webp
6,8,2,3,L06-D08-P03,آداب الأكل مع العائلة,You ask where to sit.,fin nلس?,فين نلس؟,Where should I sit?,hda hna,Let the host guide seating if you are unsure.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day08/l06-d08-p03-normal.mp3,assets/audio/level06/day08/l06-d08-p03-slow.mp3,assets/video/level06/day08/l06-d08-p03-scene.mp4,assets/images/video-posters/level06/day08/l06-d08-p03-poster.webp,assets/images/lesson-scenes/level06/day08/l06-d08-p03-scene.webp
6,8,2,4,L06-D08-P04,آداب الأكل مع العائلة,You ask if you can eat with your hand.,wash nakol b-yeddi?,واش ناكل بيدي؟,Can I eat with my hand?,"iyeh, b-yemnak",Right-hand etiquette is important in shared meals.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day08/l06-d08-p04-normal.mp3,assets/audio/level06/day08/l06-d08-p04-slow.mp3,assets/video/level06/day08/l06-d08-p04-scene.mp4,assets/images/video-posters/level06/day08/l06-d08-p04-poster.webp,assets/images/lesson-scenes/level06/day08/l06-d08-p04-scene.webp
6,8,2,5,L06-D08-P05,آداب الأكل مع العائلة,You say everything is tasty.,kolshi bnin,كلشي بنين,Everything is tasty.,bssaha w raha,A simple positive comment is better than silence.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day08/l06-d08-p05-normal.mp3,assets/audio/level06/day08/l06-d08-p05-slow.mp3,assets/video/level06/day08/l06-d08-p05-scene.mp4,assets/images/video-posters/level06/day08/l06-d08-p05-poster.webp,assets/images/lesson-scenes/level06/day08/l06-d08-p05-scene.webp
6,9,2,1,L06-D09-P01,قبول أو رفض المزيد من الأكل,You say you are full.,shba3t shukran,شبعت شكراً,"I am full, thank you.",zid shwiya,Hosts may insist; keep your tone warm.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day09/l06-d09-p01-normal.mp3,assets/audio/level06/day09/l06-d09-p01-slow.mp3,assets/video/level06/day09/l06-d09-p01-scene.mp4,assets/images/video-posters/level06/day09/l06-d09-p01-poster.webp,assets/images/lesson-scenes/level06/day09/l06-d09-p01-scene.webp
6,9,2,2,L06-D09-P02,قبول أو رفض المزيد من الأكل,You accept a little more.,zidni shwiya aafak,زيدني شوية عافاك,"Add a little for me, please.",wakha,A little acceptance can feel respectful.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day09/l06-d09-p02-normal.mp3,assets/audio/level06/day09/l06-d09-p02-slow.mp3,assets/video/level06/day09/l06-d09-p02-scene.mp4,assets/images/video-posters/level06/day09/l06-d09-p02-poster.webp,assets/images/lesson-scenes/level06/day09/l06-d09-p02-scene.webp
6,9,2,3,L06-D09-P03,قبول أو رفض المزيد من الأكل,You ask not to fill too much.,bla ma t3mr lia bzzaf,بلا ما تعمر ليا بزاف,Please do not give me too much.,"wakha, ghi shwiya",This softens refusal while respecting generosity.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day09/l06-d09-p03-normal.mp3,assets/audio/level06/day09/l06-d09-p03-slow.mp3,assets/video/level06/day09/l06-d09-p03-scene.mp4,assets/images/video-posters/level06/day09/l06-d09-p03-poster.webp,assets/images/lesson-scenes/level06/day09/l06-d09-p03-scene.webp
6,9,2,4,L06-D09-P04,قبول أو رفض المزيد من الأكل,You ask if there is something without meat.,wach kayn shi haja bla lhem?,واش كاينة شي حاجة بلا لحم؟,Is there something without meat?,iyeh kayn,Dietary needs should be expressed politely and early.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day09/l06-d09-p04-normal.mp3,assets/audio/level06/day09/l06-d09-p04-slow.mp3,assets/video/level06/day09/l06-d09-p04-scene.mp4,assets/images/video-posters/level06/day09/l06-d09-p04-poster.webp,assets/images/lesson-scenes/level06/day09/l06-d09-p04-scene.webp
6,9,2,5,L06-D09-P05,قبول أو رفض المزيد من الأكل,You say you liked it but cannot eat more.,3jbni walakin ma nqdrsh nzid,عجبني ولكن ما نقدرش نزيد,"I liked it, but I cannot eat more.",bssaha,This protects the host from feeling rejected.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day09/l06-d09-p05-normal.mp3,assets/audio/level06/day09/l06-d09-p05-slow.mp3,assets/video/level06/day09/l06-d09-p05-scene.mp4,assets/images/video-posters/level06/day09/l06-d09-p05-poster.webp,assets/images/lesson-scenes/level06/day09/l06-d09-p05-scene.webp
6,10,2,1,L06-D10-P01,المساعدة داخل البيت,You ask if you can help.,nqdr n3awnk?,نقدر نعاونك؟,Can I help you?,"la, rtaah","Offering help is kind, even if the host refuses.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day10/l06-d10-p01-normal.mp3,assets/audio/level06/day10/l06-d10-p01-slow.mp3,assets/video/level06/day10/l06-d10-p01-scene.mp4,assets/images/video-posters/level06/day10/l06-d10-p01-poster.webp,assets/images/lesson-scenes/level06/day10/l06-d10-p01-scene.webp
6,10,2,2,L06-D10-P02,المساعدة داخل البيت,You ask where to put something.,fin nder hadshi?,فين ندير هادشي؟,Where should I put this?,dero hna,"Useful after food, gifts, bags, or dishes.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day10/l06-d10-p02-normal.mp3,assets/audio/level06/day10/l06-d10-p02-slow.mp3,assets/video/level06/day10/l06-d10-p02-scene.mp4,assets/images/video-posters/level06/day10/l06-d10-p02-poster.webp,assets/images/lesson-scenes/level06/day10/l06-d10-p02-scene.webp
6,10,2,3,L06-D10-P03,المساعدة داخل البيت,You offer to bring water.,njib lma?,نجيب الما؟,Should I bring water?,ila bghiti,Small useful help is better than taking over.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day10/l06-d10-p03-normal.mp3,assets/audio/level06/day10/l06-d10-p03-slow.mp3,assets/video/level06/day10/l06-d10-p03-scene.mp4,assets/images/video-posters/level06/day10/l06-d10-p03-poster.webp,assets/images/lesson-scenes/level06/day10/l06-d10-p03-scene.webp
