level,day,week,title,situation,phraseCount,firstPhrase,lastPhrase,contentStatus
10,19,3,المرض والعزاء والزيارة الحساسة,"You use respectful phrases for illness, condolences, and difficult moments.",5,lah yshafik,lah ysabberkom,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,20,3,مراجعة الأسبوع الثالث,"You review indirect language, compliments, privacy, public respect, and sensitive visits.",5,t9dr t3tini jawb wad7 aafak?,lah yshafik w lah ysabberkom,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,21,3,الوقت والخطط وإن شاء الله,You handle flexible time and plans with cultural patience.,5,wash l-waqt m7edded?,ghadi n2akked qbel ma nji,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,22,4,الجيران والدرْب,You build polite relations with neighbors and the local street.,5,"salam a jari, labas?","ila khtajiti chi haja, ana hna",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,23,4,الطبيعة والشاطئ والجبل,You behave respectfully in Moroccan natural places.,5,wash n9dr n3om hna?,shukran 3la l-irshad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,24,4,زيارة قرية أو عائلة خارج المدينة,You visit a village or rural family with humility.,5,shukran 3la l-istiqbal,"shukran, 3zeztuna",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,25,4,الصناعة التقليدية باحترام,You talk about crafts and artisans respectfully.,5,shkun snej hadshi?,kan7tarem l-majhoud,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,26,4,الحدود الدينية والثقافية,You ask about boundaries without making assumptions.,5,wash had lblasa m9dsa?,3llmni tariqa s7i7a aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,27,4,المزاح والكلام الحساس,"You handle jokes, sensitive words, and generational tone with care.",5,wash d-d7k dyali kan mzyan?,bghit nhder b i7tiram,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,28,4,مراجعة الأسبوع الرابع,"You review time, neighbors, nature, rural visits, crafts, and boundaries.",5,2akked lia qbel ma nji aafak,3llmni tariqa s7i7a aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,29,5,مواقف ثقافية مختلطة,You face mixed real Morocco cultural situations.,5,"salam 3likom, shukran 3la l-3rida","ma kontsh 3aref, sme7 lia",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,30,5,اختبار ثقافي نهائي,You complete a full Morocco cultural simulation with respect.,5,"salam 3likom, kif dayera l-3a2ila?","shukran 3la kolshi, bslama",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
