level,levelNameEnglish,levelNameArabic,day,dayTheme,situation1,situation2,situation3,situation4,situation5,dayPromise,dayMediaLogic
1,Survival Travel,النجاة السياحية في المغرب,11,السوق: التفاوض بأدب,فتح الموقف — السوق: التفاوض بأدب,طلب أساسي — السوق: التفاوض بأدب,توضيح أو سؤال — السوق: التفاوض بأدب,رد على جواب مغربي — السوق: التفاوض بأدب,إغلاق الموقف — السوق: التفاوض بأدب,في نهاية اليوم يستطيع المتعلم التعامل مع السوق: التفاوض بأدب عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,12,المطعم: طلب الأكل,فتح الموقف — المطعم: طلب الأكل,طلب أساسي — المطعم: طلب الأكل,توضيح أو سؤال — المطعم: طلب الأكل,رد على جواب مغربي — المطعم: طلب الأكل,إغلاق الموقف — المطعم: طلب الأكل,في نهاية اليوم يستطيع المتعلم التعامل مع المطعم: طلب الأكل عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,13,الحساب والدفع,فتح الموقف — الحساب والدفع,طلب أساسي — الحساب والدفع,توضيح أو سؤال — الحساب والدفع,رد على جواب مغربي — الحساب والدفع,إغلاق الموقف — الحساب والدفع,في نهاية اليوم يستطيع المتعلم التعامل مع الحساب والدفع عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,14,الأرقام داخل الشراء,فتح الموقف — الأرقام داخل الشراء,طلب أساسي — الأرقام داخل الشراء,توضيح أو سؤال — الأرقام داخل الشراء,رد على جواب مغربي — الأرقام داخل الشراء,إغلاق الموقف — الأرقام داخل الشراء,في نهاية اليوم يستطيع المتعلم التعامل مع الأرقام داخل الشراء عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,15,الوقت واليوم وغدًا,فتح الموقف — الوقت واليوم وغدًا,طلب أساسي — الوقت واليوم وغدًا,توضيح أو سؤال — الوقت واليوم وغدًا,رد على جواب مغربي — الوقت واليوم وغدًا,إغلاق الموقف — الوقت واليوم وغدًا,في نهاية اليوم يستطيع المتعلم التعامل مع الوقت واليوم وغدًا عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,16,عدم الفهم وطلب الإعادة,فتح الموقف — عدم الفهم وطلب الإعادة,طلب أساسي — عدم الفهم وطلب الإعادة,توضيح أو سؤال — عدم الفهم وطلب الإعادة,رد على جواب مغربي — عدم الفهم وطلب الإعادة,إغلاق الموقف — عدم الفهم وطلب الإعادة,في نهاية اليوم يستطيع المتعلم التعامل مع عدم الفهم وطلب الإعادة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,17,طلب المساعدة في الشارع,فتح الموقف — طلب المساعدة في الشارع,طلب أساسي — طلب المساعدة في الشارع,توضيح أو سؤال — طلب المساعدة في الشارع,رد على جواب مغربي — طلب المساعدة في الشارع,إغلاق الموقف — طلب المساعدة في الشارع,في نهاية اليوم يستطيع المتعلم التعامل مع طلب المساعدة في الشارع عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,18,الصيدلية ومشكل صحي خفيف,فتح الموقف — الصيدلية ومشكل صحي خفيف,طلب أساسي — الصيدلية ومشكل صحي خفيف,توضيح أو سؤال — الصيدلية ومشكل صحي خفيف,رد على جواب مغربي — الصيدلية ومشكل صحي خفيف,إغلاق الموقف — الصيدلية ومشكل صحي خفيف,في نهاية اليوم يستطيع المتعلم التعامل مع الصيدلية ومشكل صحي خفيف عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,19,الهاتف و Wi‑Fi والشريحة,فتح الموقف — الهاتف و Wi‑Fi والشريحة,طلب أساسي — الهاتف و Wi‑Fi والشريحة,توضيح أو سؤال — الهاتف و Wi‑Fi والشريحة,رد على جواب مغربي — الهاتف و Wi‑Fi والشريحة,إغلاق الموقف — الهاتف و Wi‑Fi والشريحة,في نهاية اليوم يستطيع المتعلم التعامل مع الهاتف و Wi‑Fi والشريحة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,20,الأحجام والألوان في الشراء,فتح الموقف — الأحجام والألوان في الشراء,طلب أساسي — الأحجام والألوان في الشراء,توضيح أو سؤال — الأحجام والألوان في الشراء,رد على جواب مغربي — الأحجام والألوان في الشراء,إغلاق الموقف — الأحجام والألوان في الشراء,في نهاية اليوم يستطيع المتعلم التعامل مع الأحجام والألوان في الشراء عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,21,الكميات البسيطة في الشراء,فتح الموقف — الكميات البسيطة في الشراء,طلب أساسي — الكميات البسيطة في الشراء,توضيح أو سؤال — الكميات البسيطة في الشراء,رد على جواب مغربي — الكميات البسيطة في الشراء,إغلاق الموقف — الكميات البسيطة في الشراء,في نهاية اليوم يستطيع المتعلم التعامل مع الكميات البسيطة في الشراء عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,22,الاعتذار والشكر واللباقة,فتح الموقف — الاعتذار والشكر واللباقة,طلب أساسي — الاعتذار والشكر واللباقة,توضيح أو سؤال — الاعتذار والشكر واللباقة,رد على جواب مغربي — الاعتذار والشكر واللباقة,إغلاق الموقف — الاعتذار والشكر واللباقة,في نهاية اليوم يستطيع المتعلم التعامل مع الاعتذار والشكر واللباقة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,23,موقف مختلط في المدينة القديمة,فتح الموقف — موقف مختلط في المدينة القديمة,طلب أساسي — موقف مختلط في المدينة القديمة,توضيح أو سؤال — موقف مختلط في المدينة القديمة,رد على جواب مغربي — موقف مختلط في المدينة القديمة,إغلاق الموقف — موقف مختلط في المدينة القديمة,في نهاية اليوم يستطيع المتعلم التعامل مع موقف مختلط في المدينة القديمة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,24,موقف مختلط في محطة أو موقف طاكسي,فتح الموقف — موقف مختلط في محطة أو موقف طاكسي,طلب أساسي — موقف مختلط في محطة أو موقف طاكسي,توضيح أو سؤال — موقف مختلط في محطة أو موقف طاكسي,رد على جواب مغربي — موقف مختلط في محطة أو موقف طاكسي,إغلاق الموقف — موقف مختلط في محطة أو موقف طاكسي,في نهاية اليوم يستطيع المتعلم التعامل مع موقف مختلط في محطة أو موقف طاكسي عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,25,موقف مختلط في المطعم,فتح الموقف — موقف مختلط في المطعم,طلب أساسي — موقف مختلط في المطعم,توضيح أو سؤال — موقف مختلط في المطعم,رد على جواب مغربي — موقف مختلط في المطعم,إغلاق الموقف — موقف مختلط في المطعم,في نهاية اليوم يستطيع المتعلم التعامل مع موقف مختلط في المطعم عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,26,موقف مختلط في الفندق,فتح الموقف — موقف مختلط في الفندق,طلب أساسي — موقف مختلط في الفندق,توضيح أو سؤال — موقف مختلط في الفندق,رد على جواب مغربي — موقف مختلط في الفندق,إغلاق الموقف — موقف مختلط في الفندق,في نهاية اليوم يستطيع المتعلم التعامل مع موقف مختلط في الفندق عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,27,مراجعة أسبوع 4: مواقف عشوائية,فتح الموقف — مراجعة أسبوع 4: مواقف عشوائية,طلب أساسي — مراجعة أسبوع 4: مواقف عشوائية,توضيح أو سؤال — مراجعة أسبوع 4: مواقف عشوائية,رد على جواب مغربي — مراجعة أسبوع 4: مواقف عشوائية,إغلاق الموقف — مراجعة أسبوع 4: مواقف عشوائية,في نهاية اليوم يستطيع المتعلم التعامل مع مراجعة أسبوع 4: مواقف عشوائية عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,28,Real Morocco Mixed Situations,فتح الموقف — Real Morocco Mixed Situations,طلب أساسي — Real Morocco Mixed Situations,توضيح أو سؤال — Real Morocco Mixed Situations,رد على جواب مغربي — Real Morocco Mixed Situations,إغلاق الموقف — Real Morocco Mixed Situations,في نهاية اليوم يستطيع المتعلم التعامل مع Real Morocco Mixed Situations عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,29,Final Survival Day,فتح الموقف — Final Survival Day,طلب أساسي — Final Survival Day,توضيح أو سؤال — Final Survival Day,رد على جواب مغربي — Final Survival Day,إغلاق الموقف — Final Survival Day,في نهاية اليوم يستطيع المتعلم التعامل مع Final Survival Day عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,30,Final Survival Wheel,فتح الموقف — Final Survival Wheel,طلب أساسي — Final Survival Wheel,توضيح أو سؤال — Final Survival Wheel,رد على جواب مغربي — Final Survival Wheel,إغلاق الموقف — Final Survival Wheel,في نهاية اليوم يستطيع المتعلم التعامل مع Final Survival Wheel عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,1,الدخول إلى الرياض أول مرة,فتح الموقف — الدخول إلى الرياض أول مرة,طلب أساسي — الدخول إلى الرياض أول مرة,توضيح أو سؤال — الدخول إلى الرياض أول مرة,رد على جواب مغربي — الدخول إلى الرياض أول مرة,إغلاق الموقف — الدخول إلى الرياض أول مرة,في نهاية اليوم يستطيع المتعلم التعامل مع الدخول إلى الرياض أول مرة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,2,تأكيد الحجز والاستقبال,فتح الموقف — تأكيد الحجز والاستقبال,طلب أساسي — تأكيد الحجز والاستقبال,توضيح أو سؤال — تأكيد الحجز والاستقبال,رد على جواب مغربي — تأكيد الحجز والاستقبال,إغلاق الموقف — تأكيد الحجز والاستقبال,في نهاية اليوم يستطيع المتعلم التعامل مع تأكيد الحجز والاستقبال عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,3,الغرفة والمفتاح والحقائب,فتح الموقف — الغرفة والمفتاح والحقائب,طلب أساسي — الغرفة والمفتاح والحقائب,توضيح أو سؤال — الغرفة والمفتاح والحقائب,رد على جواب مغربي — الغرفة والمفتاح والحقائب,إغلاق الموقف — الغرفة والمفتاح والحقائب,في نهاية اليوم يستطيع المتعلم التعامل مع الغرفة والمفتاح والحقائب عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,4,السؤال عن Wi‑Fi والمرافق,فتح الموقف — السؤال عن Wi‑Fi والمرافق,طلب أساسي — السؤال عن Wi‑Fi والمرافق,توضيح أو سؤال — السؤال عن Wi‑Fi والمرافق,رد على جواب مغربي — السؤال عن Wi‑Fi والمرافق,إغلاق الموقف — السؤال عن Wi‑Fi والمرافق,في نهاية اليوم يستطيع المتعلم التعامل مع السؤال عن Wi‑Fi والمرافق عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,5,الفطور المغربي في الرياض,فتح الموقف — الفطور المغربي في الرياض,طلب أساسي — الفطور المغربي في الرياض,توضيح أو سؤال — الفطور المغربي في الرياض,رد على جواب مغربي — الفطور المغربي في الرياض,إغلاق الموقف — الفطور المغربي في الرياض,في نهاية اليوم يستطيع المتعلم التعامل مع الفطور المغربي في الرياض عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,6,طلب الشاي والماء بأدب,فتح الموقف — طلب الشاي والماء بأدب,طلب أساسي — طلب الشاي والماء بأدب,توضيح أو سؤال — طلب الشاي والماء بأدب,رد على جواب مغربي — طلب الشاي والماء بأدب,إغلاق الموقف — طلب الشاي والماء بأدب,في نهاية اليوم يستطيع المتعلم التعامل مع طلب الشاي والماء بأدب عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,7,مراجعة أسبوع 1: الضيافة الأساسية,فتح الموقف — مراجعة أسبوع 1: الضيافة الأساسية,طلب أساسي — مراجعة أسبوع 1: الضيافة الأساسية,توضيح أو سؤال — مراجعة أسبوع 1: الضيافة الأساسية,رد على جواب مغربي — مراجعة أسبوع 1: الضيافة الأساسية,إغلاق الموقف — مراجعة أسبوع 1: الضيافة الأساسية,في نهاية اليوم يستطيع المتعلم التعامل مع مراجعة أسبوع 1: الضيافة الأساسية عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,8,الاستئذان قبل الدخول أو الجلوس,فتح الموقف — الاستئذان قبل الدخول أو الجلوس,طلب أساسي — الاستئذان قبل الدخول أو الجلوس,توضيح أو سؤال — الاستئذان قبل الدخول أو الجلوس,رد على جواب مغربي — الاستئذان قبل الدخول أو الجلوس,إغلاق الموقف — الاستئذان قبل الدخول أو الجلوس,في نهاية اليوم يستطيع المتعلم التعامل مع الاستئذان قبل الدخول أو الجلوس عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,9,التعامل مع عاملة/عامل الرياض,فتح الموقف — التعامل مع عاملة/عامل الرياض,طلب أساسي — التعامل مع عاملة/عامل الرياض,توضيح أو سؤال — التعامل مع عاملة/عامل الرياض,رد على جواب مغربي — التعامل مع عاملة/عامل الرياض,إغلاق الموقف — التعامل مع عاملة/عامل الرياض,في نهاية اليوم يستطيع المتعلم التعامل مع التعامل مع عاملة/عامل الرياض عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,10,طلب منشفة أو صابون أو غطاء,فتح الموقف — طلب منشفة أو صابون أو غطاء,طلب أساسي — طلب منشفة أو صابون أو غطاء,توضيح أو سؤال — طلب منشفة أو صابون أو غطاء,رد على جواب مغربي — طلب منشفة أو صابون أو غطاء,إغلاق الموقف — طلب منشفة أو صابون أو غطاء,في نهاية اليوم يستطيع المتعلم التعامل مع طلب منشفة أو صابون أو غطاء عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,11,مشكلة بسيطة في الغرفة,فتح الموقف — مشكلة بسيطة في الغرفة,طلب أساسي — مشكلة بسيطة في الغرفة,توضيح أو سؤال — مشكلة بسيطة في الغرفة,رد على جواب مغربي — مشكلة بسيطة في الغرفة,إغلاق الموقف — مشكلة بسيطة في الغرفة,في نهاية اليوم يستطيع المتعلم التعامل مع مشكلة بسيطة في الغرفة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,12,الهدوء والنوم والضجيج,فتح الموقف — الهدوء والنوم والضجيج,طلب أساسي — الهدوء والنوم والضجيج,توضيح أو سؤال — الهدوء والنوم والضجيج,رد على جواب مغربي — الهدوء والنوم والضجيج,إغلاق الموقف — الهدوء والنوم والضجيج,في نهاية اليوم يستطيع المتعلم التعامل مع الهدوء والنوم والضجيج عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,13,التكييف/التدفئة والنافذة,فتح الموقف — التكييف/التدفئة والنافذة,طلب أساسي — التكييف/التدفئة والنافذة,توضيح أو سؤال — التكييف/التدفئة والنافذة,رد على جواب مغربي — التكييف/التدفئة والنافذة,إغلاق الموقف — التكييف/التدفئة والنافذة,في نهاية اليوم يستطيع المتعلم التعامل مع التكييف/التدفئة والنافذة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,14,طلب نصيحة من المضيف,فتح الموقف — طلب نصيحة من المضيف,طلب أساسي — طلب نصيحة من المضيف,توضيح أو سؤال — طلب نصيحة من المضيف,رد على جواب مغربي — طلب نصيحة من المضيف,إغلاق الموقف — طلب نصيحة من المضيف,في نهاية اليوم يستطيع المتعلم التعامل مع طلب نصيحة من المضيف عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,15,الدفع أو تمديد ليلة,فتح الموقف — الدفع أو تمديد ليلة,طلب أساسي — الدفع أو تمديد ليلة,توضيح أو سؤال — الدفع أو تمديد ليلة,رد على جواب مغربي — الدفع أو تمديد ليلة,إغلاق الموقف — الدفع أو تمديد ليلة,في نهاية اليوم يستطيع المتعلم التعامل مع الدفع أو تمديد ليلة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,16,الخروج من الرياض والعودة إليه,فتح الموقف — الخروج من الرياض والعودة إليه,طلب أساسي — الخروج من الرياض والعودة إليه,توضيح أو سؤال — الخروج من الرياض والعودة إليه,رد على جواب مغربي — الخروج من الرياض والعودة إليه,إغلاق الموقف — الخروج من الرياض والعودة إليه,في نهاية اليوم يستطيع المتعلم التعامل مع الخروج من الرياض والعودة إليه عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,17,الحديث القصير مع صاحب المكان,فتح الموقف — الحديث القصير مع صاحب المكان,طلب أساسي — الحديث القصير مع صاحب المكان,توضيح أو سؤال — الحديث القصير مع صاحب المكان,رد على جواب مغربي — الحديث القصير مع صاحب المكان,إغلاق الموقف — الحديث القصير مع صاحب المكان,في نهاية اليوم يستطيع المتعلم التعامل مع الحديث القصير مع صاحب المكان عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,18,قبول دعوة شاي,فتح الموقف — قبول دعوة شاي,طلب أساسي — قبول دعوة شاي,توضيح أو سؤال — قبول دعوة شاي,رد على جواب مغربي — قبول دعوة شاي,إغلاق الموقف — قبول دعوة شاي,في نهاية اليوم يستطيع المتعلم التعامل مع قبول دعوة شاي عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,19,رفض شيء بأدب,فتح الموقف — رفض شيء بأدب,طلب أساسي — رفض شيء بأدب,توضيح أو سؤال — رفض شيء بأدب,رد على جواب مغربي — رفض شيء بأدب,إغلاق الموقف — رفض شيء بأدب,في نهاية اليوم يستطيع المتعلم التعامل مع رفض شيء بأدب عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,20,مدح الأكل أو الديكور,فتح الموقف — مدح الأكل أو الديكور,طلب أساسي — مدح الأكل أو الديكور,توضيح أو سؤال — مدح الأكل أو الديكور,رد على جواب مغربي — مدح الأكل أو الديكور,إغلاق الموقف — مدح الأكل أو الديكور,في نهاية اليوم يستطيع المتعلم التعامل مع مدح الأكل أو الديكور عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
