phraseId,day,dayTitle,friendlyLatin,english,status,needsNativeDarijaQA,needsAudioBeforePublish,notes
L12-D05-P03,5,مقهى وحديث محلي,l-jw zwin lyoum,The weather is nice today.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D05-P04,5,مقهى وحديث محلي,ash katnse7ni hna qrib?,What do you recommend around here?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D05-P05,5,مقهى وحديث محلي,l7sab aafak,"The bill, please.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D06-P01,6,مهمة السوق والتفاوض,bsh7al hada?,How much is this?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D06-P02,6,مهمة السوق والتفاوض,ghali shwiya 3lia,It is a little expensive for me.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D06-P03,6,مهمة السوق والتفاوض,sh7al akhir taman?,What is the final price?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D06-P04,6,مهمة السوق والتفاوض,ghadi nfker w nrje3,I will think and come back.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D06-P05,6,مهمة السوق والتفاوض,"nakhdo, t3tini sak aafak?",I will take it; can you give me a bag?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D07-P01,7,مطعم واختيارات الأكل,ashno l-makla l-m3rofa 3ndkom?,What is the house specialty?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D07-P02,7,مطعم واختيارات الأكل,ma kanakolsh l-7ar,I do not eat spicy food.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D07-P03,7,مطعم واختيارات الأكل,wash fih l-7em?,Is there meat in it?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D07-P04,7,مطعم واختيارات الأكل,l-ma aafak,"Water, please.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D07-P05,7,مطعم واختيارات الأكل,"l-makla kanet bnina, shukran","The food was delicious, thank you.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D08-P01,8,تضيع وترجع بأمان,ma lqitsh r-riyad,I cannot find the riad.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D08-P02,8,تضيع وترجع بأمان,hada l-3onwan f telephone dyali,This is the address on my phone.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D08-P03,8,تضيع وترجع بأمان,t9dr t3ayet l-riyad 3lia?,Can you call the riad for me?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D08-P04,8,تضيع وترجع بأمان,t9dr twerrini l-bab?,Can you show me the gate?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D08-P05,8,تضيع وترجع بأمان,"shukran, 3awntini bzzaf","Thank you, you really helped me.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D09-P01,9,رحلة قطار أو كار,fin n9der nshri ticket?,Where can I buy a ticket?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D09-P02,9,رحلة قطار أو كار,ashmn quai l had train?,Which platform for this train?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D09-P03,9,رحلة قطار أو كار,wash train m2akher?,Is the train late?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D09-P04,9,رحلة قطار أو كار,3ndi raqm l-blasa,I have a seat number.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D09-P05,9,رحلة قطار أو كار,imta ghadi nweslo?,When do we arrive?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D10-P01,10,مدينة جديدة وبداية جديدة,wash hna centre-ville?,Is this the city center?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D10-P02,10,مدينة جديدة وبداية جديدة,fin nakhod taxi mzyan?,Where can I take a reliable taxi?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D10-P03,10,مدينة جديدة وبداية جديدة,khddem compteur aafak,"Use the meter, please.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D10-P04,10,مدينة جديدة وبداية جديدة,wash had l-7ouma b3ida?,Is this neighborhood far?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D10-P05,10,مدينة جديدة وبداية جديدة,khasni ndir check-in luwel,I need to check in first.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D11-P01,11,زيارة عائلة مغربية,"salam 3likom, labas 3likom kamlin?","Peace be upon you, how are you all?",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D11-P02,11,زيارة عائلة مغربية,kif dayera l-3a2ila?,How is the family?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D11-P03,11,زيارة عائلة مغربية,darkom zwina tbarkellah,"Your home is beautiful, tbarkellah.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D11-P04,11,زيارة عائلة مغربية,shukran 3la atay w marhba,Thank you for the tea and welcome.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D11-P05,11,زيارة عائلة مغربية,fre7an bzzaf b ma3riftkom,I was very happy to meet you.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D12-P01,12,يوم احترام ثقافي,n9dr ndkhol hna?,Can I enter here?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D12-P02,12,يوم احترام ثقافي,wash tswir msmo7 hna?,Are photos allowed here?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D12-P03,12,يوم احترام ثقافي,sme7 lia ila ghalt,Sorry if I made a mistake.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D12-P04,12,يوم احترام ثقافي,bghit n7tarem had lblasa,I want to respect the place.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D12-P05,12,يوم احترام ثقافي,ashno s7i7 ndir?,What is the right thing to do?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D13-P01,13,خدمة محلية: حمام أو حلاق,wash kayn wa9t daba?,Is there availability now?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D13-P02,13,خدمة محلية: حمام أو حلاق,bghit chi haja basita,I want something simple.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D13-P03,13,خدمة محلية: حمام أو حلاق,mashi bzzaf aafak,"Not too strong, please.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D13-P04,13,خدمة محلية: حمام أو حلاق,sh7al nkhlles?,How much should I pay?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D13-P05,13,خدمة محلية: حمام أو حلاق,lah y3tik ssa7a,May God give you health.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D14-P01,14,شراء هدية بذكاء,hadi hadiha,This is a gift.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D14-P02,14,شراء هدية بذكاء,3ndk lon akhor?,Do you have another color?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D14-P03,14,شراء هدية بذكاء,wash l-jawda mzyana?,Is the quality good?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D14-P04,14,شراء هدية بذكاء,n9dr nbeddlo ila 7tajit?,Can I exchange it if needed?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D14-P05,14,شراء هدية بذكاء,glfo mzyan aafak,"Wrap it well, please.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D15-P01,15,مشاوير الحي,fin qreb 7anout?,Where is the nearest grocery?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D15-P02,15,مشاوير الحي,n9dr n3mer telephone hna?,Can I recharge my phone here?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D15-P03,15,مشاوير الحي,wash l-7wayj wajdin?,Is the laundry ready?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D15-P04,15,مشاوير الحي,t9dro twessloha l-riyad?,Can you deliver it to the riad?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D15-P05,15,مشاوير الحي,ghadi nssift l-3onwan f WhatsApp,I will send the address on WhatsApp.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D16-P01,16,رحلة جبلية أو قرية,wash triq mzyana lyoum?,Is the road good today?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D16-P02,16,رحلة جبلية أو قرية,sh7al dyal l-mshi?,How long is the walk?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D16-P03,16,رحلة جبلية أو قرية,khasni l-ma,I need water.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D16-P04,16,رحلة جبلية أو قرية,n9dro ndouzo mn hna?,Can we pass from here?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D16-P05,16,رحلة جبلية أو قرية,shukran 3la ma werritina lblasa,Thank you for showing us the place.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D17-P01,17,مدينة ساحلية ويوم بحر,wash l-3awm aman lyoum?,Is swimming safe today?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D17-P02,17,مدينة ساحلية ويوم بحر,fin n9der nkhli 7wayji?,Where can I leave my things?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D17-P03,17,مدينة ساحلية ويوم بحر,ashmn 7out katnse7ni?,What fish do you recommend?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D17-P04,17,مدينة ساحلية ويوم بحر,wash taman b kilo?,Is the price by kilo?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D17-P05,17,مدينة ساحلية ويوم بحر,l-b7ar zwin lyoum,The sea is beautiful today.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D18-P01,18,مشكلة الإنترنت والتليفون,internet d3if,The internet is weak.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D18-P02,18,مشكلة الإنترنت والتليفون,t9dr tsift lia code wifi 3awtani?,Can you send the Wi-Fi password again?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D18-P03,18,مشكلة الإنترنت والتليفون,voice note ma wad7ash,The voice note is not clear.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D18-P04,18,مشكلة الإنترنت والتليفون,hder b shwiya aafak,"Speak slower, please.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D18-P05,18,مشكلة الإنترنت والتليفون,ghadi nssift lik localisation,I will send my location.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D19-P01,19,صيدلية أو طبيب,kershti katwje3ni,My stomach hurts.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D19-P02,19,صيدلية أو طبيب,3ndi 7assasiya mn hada,I have an allergy to this.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D19-P03,19,صيدلية أو طبيب,kifash nakhod had dawa?,How should I take this medicine?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D19-P04,19,صيدلية أو طبيب,wash khasni tbib?,Do I need a doctor?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D19-P05,19,صيدلية أو طبيب,fin qreb clinique?,Where is the nearest clinic?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D20-P01,20,وثائق ضائعة أو مشكل أمان,passport dyali tlf lia,My passport is lost.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D20-P02,20,وثائق ضائعة أو مشكل أمان,fin poste dyal police?,Where is the police station?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
