day,lessonTitle,phraseId,friendlyLatin,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual
5,Be Polite Without Sounding Formal,day05-maashi-mushkil-003,mashi mushkil,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
5,Be Polite Without Sounding Formal,day05-wakha-004,wakha,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
5,Be Polite Without Sounding Formal,day05-la-shukran-005,la shukran,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
6,Introduce Yourself,day06-smiti-john-001,smiti ...,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,OK
6,Introduce Yourself,day06-ana-mn-002,ana mn...,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
6,Introduce Yourself,day06-ana-mn-mirikan-003,kanhder English shwiya,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
6,Introduce Yourself,day06-msharfin-004,msharfin,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
6,Introduce Yourself,day06-ana-turist-005,ana turist,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
7,I Don’t Understand,day07-ma-fhemtsh-001,ma fhemtsh,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,OK
7,I Don’t Understand,day07-bshwiya-aafak-002,bshwiya aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
7,I Don’t Understand,day07-aawed-aafak-003,aawed aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
7,I Don’t Understand,day07-wash-kat-hder-english-004,wash kat-hder English?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
7,I Don’t Understand,day07-shnu-glti-005,shnu glti?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
8,"Yes, No, Maybe, I Want",day08-iyeh-001,iyeh,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,OK
8,"Yes, No, Maybe, I Want",day08-0la-002,la,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
8,"Yes, No, Maybe, I Want",day08-momkin-003,momkin,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
8,"Yes, No, Maybe, I Want",day08-bghit-004,bghit...,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
8,"Yes, No, Maybe, I Want",day08-ma-bghitsh-005,ma bghitsh,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
9,Taxi: Price and Meter,day09-bsh-hal-taman-001,bshhal taman?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,OK
9,Taxi: Price and Meter,day09-shaal-l-compteur-aafak-002,shael l-compteur aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
9,Taxi: Price and Meter,day09-ghali-bzaf-003,ghali bzaf,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
9,Taxi: Price and Meter,day09-la-shukran-004,"la, shukran",MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
9,Taxi: Price and Meter,day09-wakha-005,wakha,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
10,Taxi: Stop and Directions,day10-wqef-hna-aafak-001,wqef hna aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,OK
10,Taxi: Stop and Directions,day10-sir-nishan-002,sir nishan,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
10,Taxi: Stop and Directions,day10-dur-l-limen-003,dur l-limen,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
10,Taxi: Stop and Directions,day10-dur-l-lisar-004,dur l-lisar,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
10,Taxi: Stop and Directions,day10-hna-mezian-005,hna mezian,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
11,"Train, Bus, Airport",day11-fin-l-mahatta-001,fin l-mahatta?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
11,"Train, Bus, Airport",day11-fin-l-mtar-002,fin l-mtar?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
11,"Train, Bus, Airport",day11-bghit-ticket-l-003,bghit ticket l...,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
11,"Train, Bus, Airport",day11-shhal-f-saa-004,shhal f saa?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
11,"Train, Bus, Airport",day11-wash-baqi-kayn-005,wash baqi kayn?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
12,Lost in the Medina,day12-tliit-001,tliit,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
12,Lost in the Medina,day12-fin-kayn-002,fin kayn ...?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
12,Lost in the Medina,day12-qreb-wla-b3id-003,qreb wla b'id?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
12,Lost in the Medina,day12-aaweni-aafak-004,aaweni aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
12,Lost in the Medina,day12-shukran-bzaf-005,shukran bzaf,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
13,"Sugar, Milk, Custom Orders",day13-bla-sokkar-001,bla sokkar,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
13,"Sugar, Milk, Custom Orders",day13-b-l-hlib-002,b l-hlib,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
13,"Sugar, Milk, Custom Orders",day13-messous-003,messous,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
13,"Sugar, Milk, Custom Orders",day13-shwiya-sokkar-004,shwiya sokkar,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
13,"Sugar, Milk, Custom Orders",day13-ma-bghitsh-sokkar-005,ma bghitsh sokkar,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
14,Restaurant Basics,day14-bghit-menu-001,bghit menu,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
14,Restaurant Basics,day14-shnu-kayn-002,shnu kayn?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
14,Restaurant Basics,day14-bghit-tajine-003,bghit tajine,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
14,Restaurant Basics,day14-bghit-couscous-004,bghit couscous,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
14,Restaurant Basics,day14-hadshi-bnin-005,hadshi bnin,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
15,The Bill and Payment,day15-l-hssab-aafak-001,l-hssab aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
15,The Bill and Payment,day15-bsh-hal-002,bshhal?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
15,The Bill and Payment,day15-nkhlles-b-carte-003,nkhlles b carte?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
15,The Bill and Payment,day15-cash-004,nkhlles nkhlles cash?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
15,The Bill and Payment,day15-safi-shukran-005,safi shukran,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
16,Dietary Needs,day16-ana-vegetariyan-001,ana vegetariyan,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
16,Dietary Needs,day16-ma-kan-akolsh-l-hm-002,ma kan-akolsh l-hm,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
16,Dietary Needs,day16-wash-fih-l-hlib-003,wash fih l-hlib?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
16,Dietary Needs,day16-wash-fih-l-bid-004,wash fih l-bid?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
16,Dietary Needs,day16-bla-aafak-005,bla ... aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
17,Ask the Price,day17-bsh-hal-hada-001,bshhal hada?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
17,Ask the Price,day17-bsh-hal-hadi-002,bshhal hadi?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
17,Ask the Price,day17-shhal-taman-003,shhal taman?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
17,Ask the Price,day17-hada-zwin-004,hada zwin,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
17,Ask the Price,day17-bghit-nshuf-005,bghit nshuf,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
18,Bargain Politely,day18-ghali-bzaf-001,ghali bzaf,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
18,Bargain Politely,day18-nqes-shwiya-aafak-002,nqes shwiya aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
18,Bargain Politely,day18-akher-taman-003,akher taman?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
18,Bargain Politely,day18-ma-bghitsh-004,ma bghitsh,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
18,Bargain Politely,day18-wakha-005,wakha,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
19,"Buy This, Not That",day19-bghit-hada-001,bghit hada,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
19,"Buy This, Not That",day19-ma-bghitsh-hadi-002,ma bghitsh hadi,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
19,"Buy This, Not That",day19-atini-hada-aafak-003,atini hada aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
19,"Buy This, Not That",day19-kayna-shi-haja-khra-004,kayna shi haja khra?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
19,"Buy This, Not That",day19-safi-005,safi,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
20,Sizes and Colors,day20-kbir-001,bghit l-kbir,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
20,Sizes and Colors,day20-sghir-002,bghit l-sghir,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
20,Sizes and Colors,day20-khal-003,bghit l-khal,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
20,Sizes and Colors,day20-byed-004,bghit l-byed,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
20,Sizes and Colors,day20-zraq-005,bghit l-zraq,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
21,Numbers for Prices,day21-wahed-001,bghit wahed,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
21,Numbers for Prices,day21-jouj-002,bghit jouj,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
21,Numbers for Prices,day21-tlata-003,bghit tlata,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
21,Numbers for Prices,day21-ashra-004,ashra drham,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
21,Numbers for Prices,day21-bsh-hal-b-drham-005,bshhal b drham?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
22,Hotel / Riad Check-in,day22-andi-reservation-001,andi reservation,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
22,Hotel / Riad Check-in,day22-smiti-002,smiti...,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
22,Hotel / Riad Check-in,day22-fin-l-bit-003,fin l-bit?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
22,Hotel / Riad Check-in,day22-bghit-l-mftah-004,bghit l-mftah,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
22,Hotel / Riad Check-in,day22-shukran-005,shukran,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
23,Hotel Problems,day23-ma-kaynsh-lma-skhun-001,ma kaynsh lma skhun,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
23,Hotel Problems,day23-l-wifi-ma-khdamsh-002,l-wifi ma khdamsh,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
23,Hotel Problems,day23-bghit-nbedel-l-bit-003,bghit nbedel l-bit,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
23,Hotel Problems,day23-aaweni-aafak-004,aaweni aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
23,Hotel Problems,day23-maashi-mushkil-005,mashi mushkil,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
24,Ask Where Things Are,day24-fin-kayn-001,fin kayn...?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
24,Ask Where Things Are,day24-fin-toilet-002,fin kayn toilet?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
24,Ask Where Things Are,day24-fin-pharmacy-003,fin kayna pharmacie?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
24,Ask Where Things Are,day24-fin-atm-004,fin kayn ATM?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
24,Ask Where Things Are,day24-qreb-005,wash wash qreb?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
25,Need Help / Emergency Light,day25-aaweni-aafak-001,aaweni aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
25,Need Help / Emergency Light,day25-bghit-doctor-002,bghit tbib,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
25,Need Help / Emergency Light,day25-ana-mrid-003,ana mrid,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
25,Need Help / Emergency Light,day25-mshat-li-l-portefeuille-004,mshat li l-portefeuille,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
25,Need Help / Emergency Light,day25-fin-police-005,fin l-police?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
26,"Phone, SIM, Internet",day26-bghit-carte-sim-001,bghit carte SIM,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
26,"Phone, SIM, Internet",day26-bghit-internet-002,bghit internet,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
26,"Phone, SIM, Internet",day26-shhal-giga-003,shhal giga?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
26,"Phone, SIM, Internet",day26-ma-khdamsh-004,ma khdamsh,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
26,"Phone, SIM, Internet",day26-aaweni-aafak-005,aaweni aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
27,Compliments and Warm Phrases,day27-bssaha-001,bssaha,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
27,Compliments and Warm Phrases,day27-llah-ykhalik-002,llah ykhalik,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
27,Compliments and Warm Phrases,day27-zwin-bzaf-003,zwin bzaf,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
27,Compliments and Warm Phrases,day27-had-l-blad-zwina-004,had l-blad zwina,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
27,Compliments and Warm Phrases,day27-shukran-bzaf-005,shukran bzaf,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
28,Decline Politely,day28-la-shukran-001,la shukran,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
28,Decline Politely,day28-ma-bghitsh-002,ma bghitsh,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
28,Decline Politely,day28-ghir-kan-shuf-003,ghir kan-shuf,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
28,Decline Politely,day28-ma-andish-flus-daba-004,ma andish flus daba,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
28,Decline Politely,day28-safi-shukran-005,safi shukran,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
29,Real Morocco Mixed Situations,day29-salam-001,"salam, labas?",MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
29,Real Morocco Mixed Situations,day29-bghit-nmshi-l-otel-002,bghit nmshi l-otel,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
29,Real Morocco Mixed Situations,day29-shaal-l-compteur-aafak-003,qahwa kahla aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
29,Real Morocco Mixed Situations,day29-wqef-hna-aafak-004,bshhal hada?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
29,Real Morocco Mixed Situations,day29-shukran-bzaf-005,aaweni aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
30,Final Morocco Survival Test,day30-salam-001,salam,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
30,Final Morocco Survival Test,day30-bghit-nmshi-l-otel-002,bghit nmshi l-otel,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
30,Final Morocco Survival Test,day30-qahwa-kahla-aafak-003,qahwa kahla aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
30,Final Morocco Survival Test,day30-bsh-hal-hada-004,bshhal hada?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
30,Final Morocco Survival Test,day30-aaweni-aafak-005,aaweni aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
1,الدخول إلى الرياض أول مرة,L02-D01-P01,"salam aalikom, ana wasel daba",MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
1,الدخول إلى الرياض أول مرة,L02-D01-P02,bghit ndkhol l-riad aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
1,الدخول إلى الرياض أول مرة,L02-D01-P03,wash hna reception?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
1,الدخول إلى الرياض أول مرة,L02-D01-P04,ana guest hna lila,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
1,الدخول إلى الرياض أول مرة,L02-D01-P05,"shukran, l-blasa zwina",MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
2,تأكيد الحجز والاستقبال,L02-D02-P01,aandi reservation b smiya dyali,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
2,تأكيد الحجز والاستقبال,L02-D02-P02,smiti ...,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
2,تأكيد الحجز والاستقبال,L02-D02-P03,wash l-bit wajed?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
2,تأكيد الحجز والاستقبال,L02-D02-P04,nqder nshuf l-bit?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
2,تأكيد الحجز والاستقبال,L02-D02-P05,"wakha, ghadi ntsenna hna",MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
3,الغرفة والمفتاح والحقائب,L02-D03-P01,fin l-bit dyali aafak?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
3,الغرفة والمفتاح والحقائب,L02-D03-P02,fin l-kle dyal l-bit?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
3,الغرفة والمفتاح والحقائب,L02-D03-P03,had shnati tqila shwiya,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
3,الغرفة والمفتاح والحقائب,L02-D03-P04,nqder nkhli shnati hna?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
3,الغرفة والمفتاح والحقائب,L02-D03-P05,shukran ala l-musaada,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
4,السؤال عن Wi‑Fi والمرافق,L02-D04-P01,kayn wifi?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
4,السؤال عن Wi‑Fi والمرافق,L02-D04-P02,shno l-code dyal l-wifi?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
4,السؤال عن Wi‑Fi والمرافق,L02-D04-P03,fin l-hmam aafak?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
4,السؤال عن Wi‑Fi والمرافق,L02-D04-P04,fin stah?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
4,السؤال عن Wi‑Fi والمرافق,L02-D04-P05,wash kayn l-ma skhon?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
5,الفطور المغربي في الرياض,L02-D05-P01,imta l-ftor?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
5,الفطور المغربي في الرياض,L02-D05-P02,wash l-ftor dakhel f l-hsab?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
5,الفطور المغربي في الرياض,L02-D05-P03,fin nakol l-ftor?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
5,الفطور المغربي في الرياض,L02-D05-P04,bghit atay bla sokar aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
5,الفطور المغربي في الرياض,L02-D05-P05,"l-ftor bnin, shukran",MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
6,طلب الشاي والماء بأدب,L02-D06-P01,nqder nakhod atay?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
6,طلب الشاي والماء بأدب,L02-D06-P02,bghit kas dyal l-ma aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
6,طلب الشاي والماء بأدب,L02-D06-P03,l-atay bnin bzaf,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
6,طلب الشاي والماء بأدب,L02-D06-P04,shwiya sokar aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
6,طلب الشاي والماء بأدب,L02-D06-P05,baraka allah fik,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
7,مراجعة أسبوع 1: الضيافة الأساسية,L02-D07-P01,"salam, aandi reservation",MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
7,مراجعة أسبوع 1: الضيافة الأساسية,L02-D07-P02,shno l-code dyal l-wifi?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
7,مراجعة أسبوع 1: الضيافة الأساسية,L02-D07-P03,imta l-ftor?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
7,مراجعة أسبوع 1: الضيافة الأساسية,L02-D07-P04,fin l-bit dyali?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
7,مراجعة أسبوع 1: الضيافة الأساسية,L02-D07-P05,shukran ala kolshi,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
8,الاستئذان قبل الدخول أو الجلوس,L02-D08-P01,nqder ndkhol?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
8,الاستئذان قبل الدخول أو الجلوس,L02-D08-P02,nqder njles hna?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
8,الاستئذان قبل الدخول أو الجلوس,L02-D08-P03,nqder nhell l-shrjem?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
8,الاستئذان قبل الدخول أو الجلوس,L02-D08-P04,"smehli, wach nqder ndouz?",MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
