level,day,week,titleArabic,titleEnglish,phrases,firstPhrase,lastPhrase,status
4,15,3,الجلد والبلاغي,Leather and Babouches,5,wach hada jeld s7i7?,bghit sak fih fermeture,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,16,3,الزربية والنسيج,Carpets and Textiles,5,hellha aafak,twiha mzyan aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,17,3,الفخار والحاجات القابلة للكسر,Ceramics and Breakable Items,5,wach kattkser b s-hola?,wach 3ndk kartona qwiya?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,18,3,الثمن الثابت والبوتيك,Fixed Price and Boutique,5,wash l-athmana thabtin?,"wakha, ghadi nkhles had taman",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,19,3,اختيارات أخرى والمخزون,Alternatives and Stock,5,wach 3ndk model akhor?,bghit shi haja ma shi touristiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,20,3,الدفع والصرف,Paying and Change,5,nqdr nkhles b la carte?,يعني kolshi miya w tmanin?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,21,3,مراجعة الأسبوع 3: ثقة في السلعة,Week 3 Review: Product Confidence,5,wach hada jeld s7i7?,nqdr nkhles b la carte?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,22,4,الإرجاع والمشاكل,Returning and Problems,5,kayn moshkil f hadi,shriتها lyoum,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,23,4,التغليف والسفر,Packing and Travel Home,5,ghlefha l-safar aafak,hmiha mzyan aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,24,4,قول لا بلا ضغط,Saying No Without Pressure,5,la shukran,يمكن من بعد,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,25,4,نصيحة محلية وثمن عادل,Local Advice and Fair Price,5,wach had taman mzyan?,wach katstahel?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,26,4,هدايا للعائلة,Gifts for Family,5,hadi l-walida dyali,ghlefha bhal hadiya aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,27,4,سلسلة التفاوض النهائية,Final Bargain Sequence,5,bshhal hada?,"wakha, tfaqna. shukran",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,28,4,مراجعة الأسبوع 4: مشتري واثق,Week 4 Review: Confident Shopper,5,kayn moshkil f hadi,"wakha, tfaqna. shukran",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,29,5,مواقف سوق مختلطة,Real Souk Mixed Situations,5,bshhal had s-sak?,"wakha, ghadi nakhdo. ghlefha mzyan",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,30,5,اختبار التسوق النهائي,Final Shopping Day,5,"salam, bshhal hada?","shukran, nhar zwin",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
