level,levelNameEnglish,levelNameArabic,day,week,dayTitle,phraseNo,id,friendlyLatin,arabic,english,scenario,possibleMoroccanReply,cultureNote,pronunciationParts,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,contentStatus
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,3,1,رسائل واتساب قصيرة,1,L11-D03-P01,fin nta daba?,فين نتا دابا؟,Where are you now?,You receive or send a short WhatsApp location message.,ana f triq.,Short WhatsApp Darija often drops extra politeness because context is clear.,fin / nta / daba,assets/audio/level11/day03/l11-d03-p01-normal.mp3,assets/audio/level11/day03/l11-d03-p01-slow.mp3,assets/video/level11/day03/l11-d03-p01-scene.mp4,assets/images/video-posters/level11/day03/l11-d03-p01-poster.webp,assets/images/lesson-scenes/level11/day03/l11-d03-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,3,1,رسائل واتساب قصيرة,2,L11-D03-P02,ana jay daba,أنا جاي دابا,I am coming now.,You need to reply quickly before meeting someone.,"wakha, tsnak.",Simple present movement phrases are common in chat.,ana / jay / daba,assets/audio/level11/day03/l11-d03-p02-normal.mp3,assets/audio/level11/day03/l11-d03-p02-slow.mp3,assets/video/level11/day03/l11-d03-p02-scene.mp4,assets/images/video-posters/level11/day03/l11-d03-p02-poster.webp,assets/images/lesson-scenes/level11/day03/l11-d03-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,3,1,رسائل واتساب قصيرة,3,L11-D03-P03,sift lia l-adresse,صيفط ليا لادريس,Send me the address.,You need the address by WhatsApp.,daba nsift lik.,French loanwords like adresse are common in Moroccan daily speech.,sift / lia / l-adresse,assets/audio/level11/day03/l11-d03-p03-normal.mp3,assets/audio/level11/day03/l11-d03-p03-slow.mp3,assets/video/level11/day03/l11-d03-p03-scene.mp4,assets/images/video-posters/level11/day03/l11-d03-p03-poster.webp,assets/images/lesson-scenes/level11/day03/l11-d03-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,3,1,رسائل واتساب قصيرة,4,L11-D03-P04,ma tlawelsh 3liya,ما طولش عليا,Do not take too long on me.,A friend jokes that you are late.,hahaha ghadi nji.,Use this carefully; it can sound friendly with close people.,ma / tlawelsh / 3liya,assets/audio/level11/day03/l11-d03-p04-normal.mp3,assets/audio/level11/day03/l11-d03-p04-slow.mp3,assets/video/level11/day03/l11-d03-p04-scene.mp4,assets/images/video-posters/level11/day03/l11-d03-p04-poster.webp,assets/images/lesson-scenes/level11/day03/l11-d03-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,3,1,رسائل واتساب قصيرة,5,L11-D03-P05,"safi, tla9aw tma",صافي، تلاقاو تما,"Okay, meet there.",You close a short WhatsApp plan.,"safi, mtafqin.",Safi closes agreement in many daily messages.,safi / tla9aw / tma,assets/audio/level11/day03/l11-d03-p05-normal.mp3,assets/audio/level11/day03/l11-d03-p05-slow.mp3,assets/video/level11/day03/l11-d03-p05-scene.mp4,assets/images/video-posters/level11/day03/l11-d03-p05-poster.webp,assets/images/lesson-scenes/level11/day03/l11-d03-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,4,1,رسالة صوتية بطيئة,1,L11-D04-P01,sma3t lmessage b shwiya,سمعت الميساج بشوية,I listened to the message slowly.,You play a slow voice note to understand it.,"mzyan, 3awed sma3.",Repeating audio is part of listening training.,sma3t / lmessage / b / shwiya,assets/audio/level11/day04/l11-d04-p01-normal.mp3,assets/audio/level11/day04/l11-d04-p01-slow.mp3,assets/video/level11/day04/l11-d04-p01-scene.mp4,assets/images/video-posters/level11/day04/l11-d04-p01-poster.webp,assets/images/lesson-scenes/level11/day04/l11-d04-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,4,1,رسالة صوتية بطيئة,2,L11-D04-P02,3awed lia awal kelma,عاود ليا أول كلمة,Repeat the first word for me.,You understood the message except the first word.,awal kelma hiya daba.,"Ask for one segment, not the whole message.",3awed / lia / awal / kelma,assets/audio/level11/day04/l11-d04-p02-normal.mp3,assets/audio/level11/day04/l11-d04-p02-slow.mp3,assets/video/level11/day04/l11-d04-p02-scene.mp4,assets/images/video-posters/level11/day04/l11-d04-p02-poster.webp,assets/images/lesson-scenes/level11/day04/l11-d04-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,4,1,رسالة صوتية بطيئة,3,L11-D04-P03,fhemt ghir nos lmessage,فهمت غير نص الميساج,I understood only half of the message.,You report partial understanding honestly.,ma moshkilsh.,Partial understanding is a normal bridge to native listening.,fhemt / ghir / nos / lmessage,assets/audio/level11/day04/l11-d04-p03-normal.mp3,assets/audio/level11/day04/l11-d04-p03-slow.mp3,assets/video/level11/day04/l11-d04-p03-scene.mp4,assets/images/video-posters/level11/day04/l11-d04-p03-poster.webp,assets/images/lesson-scenes/level11/day04/l11-d04-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,4,1,رسالة صوتية بطيئة,4,L11-D04-P04,soutk wad7 daba,صوتك واضح دابا,Your voice is clear now.,The speaker records again more clearly.,"mzyan, daba nkmel.",Audio quality can change meaning in voice notes.,soutk / wad7 / daba,assets/audio/level11/day04/l11-d04-p04-normal.mp3,assets/audio/level11/day04/l11-d04-p04-slow.mp3,assets/video/level11/day04/l11-d04-p04-scene.mp4,assets/images/video-posters/level11/day04/l11-d04-p04-poster.webp,assets/images/lesson-scenes/level11/day04/l11-d04-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,4,1,رسالة صوتية بطيئة,5,L11-D04-P05,sift lia slow version aafak,صيفط ليا نسخة بطيئة عافاك,Send me a slow version please.,You request a slower voice note.,"wakha, nsift lik.",This is a practical learner request with friends or teachers.,sift / lia / slow / version / aafak,assets/audio/level11/day04/l11-d04-p05-normal.mp3,assets/audio/level11/day04/l11-d04-p05-slow.mp3,assets/video/level11/day04/l11-d04-p05-scene.mp4,assets/images/video-posters/level11/day04/l11-d04-p05-poster.webp,assets/images/lesson-scenes/level11/day04/l11-d04-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,5,1,رسالة صوتية طبيعية,1,L11-D05-P01,soutk na9s shwiya,صوتك ناقص شوية,Your voice is a bit low.,You cannot hear a natural voice note well.,n3awd nrecordi.,Phone audio issues are common in real WhatsApp use.,soutk / na9s / shwiya,assets/audio/level11/day05/l11-d05-p01-normal.mp3,assets/audio/level11/day05/l11-d05-p01-slow.mp3,assets/video/level11/day05/l11-d05-p01-scene.mp4,assets/images/video-posters/level11/day05/l11-d05-p01-poster.webp,assets/images/lesson-scenes/level11/day05/l11-d05-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,5,1,رسالة صوتية طبيعية,2,L11-D05-P02,masma3tsh akhir jumla,ما سمعتش آخر جملة,I did not hear the last sentence.,The last part of a voice note is unclear.,akhir jumla: tla9ani tma.,Targeting the missing part is better than asking for all again.,masma3tsh / akhir / jumla,assets/audio/level11/day05/l11-d05-p02-normal.mp3,assets/audio/level11/day05/l11-d05-p02-slow.mp3,assets/video/level11/day05/l11-d05-p02-scene.mp4,assets/images/video-posters/level11/day05/l11-d05-p02-poster.webp,assets/images/lesson-scenes/level11/day05/l11-d05-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,5,1,رسالة صوتية طبيعية,3,L11-D05-P03,wash glti daba wla ghdda?,واش قلتي دابا ولا غدا؟,Did you say now or tomorrow?,You need to distinguish timing in a voice note.,glit ghdda.,Time words are critical in voice messages.,wash / glti / daba / wla / ghdda,assets/audio/level11/day05/l11-d05-p03-normal.mp3,assets/audio/level11/day05/l11-d05-p03-slow.mp3,assets/video/level11/day05/l11-d05-p03-scene.mp4,assets/images/video-posters/level11/day05/l11-d05-p03-poster.webp,assets/images/lesson-scenes/level11/day05/l11-d05-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,5,1,رسالة صوتية طبيعية,4,L11-D05-P04,"ana m3ak, kml",أنا معاك، كمل,"I am with you, continue.",You signal you are still listening on a call or voice chat.,"safi, nkmel.",Short backchannel phrases keep the conversation alive.,ana / m3ak / kml,assets/audio/level11/day05/l11-d05-p04-normal.mp3,assets/audio/level11/day05/l11-d05-p04-slow.mp3,assets/video/level11/day05/l11-d05-p04-scene.mp4,assets/images/video-posters/level11/day05/l11-d05-p04-poster.webp,assets/images/lesson-scenes/level11/day05/l11-d05-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,5,1,رسالة صوتية طبيعية,5,L11-D05-P05,"fhemt lfikra, shukran",فهمت الفكرة، شكرا,"I understood the idea, thank you.",You close a natural voice-note exchange.,bsa7a.,You do not need every word if you understand the situation.,fhemt / lfikra / shukran,assets/audio/level11/day05/l11-d05-p05-normal.mp3,assets/audio/level11/day05/l11-d05-p05-slow.mp3,assets/video/level11/day05/l11-d05-p05-scene.mp4,assets/images/video-posters/level11/day05/l11-d05-p05-poster.webp,assets/images/lesson-scenes/level11/day05/l11-d05-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,6,1,كلام سريع في الشارع,1,L11-D06-P01,hder b shwiya aafak,هضر بشوية عافاك,Speak slowly please.,Someone in the street speaks too fast.,"wakha, b shwiya.",This is the safest phrase for fast speech.,hder / b / shwiya / aafak,assets/audio/level11/day06/l11-d06-p01-normal.mp3,assets/audio/level11/day06/l11-d06-p01-slow.mp3,assets/video/level11/day06/l11-d06-p01-scene.mp4,assets/images/video-posters/level11/day06/l11-d06-p01-poster.webp,assets/images/lesson-scenes/level11/day06/l11-d06-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,6,1,كلام سريع في الشارع,2,L11-D06-P02,ma l7e9tsh nsm3,ما لحقتش نسمع,I did not catch it.,You miss a fast sentence in a noisy street.,n3awd lik.,"Use this when speed, not language, is the problem.",ma / l7e9tsh / nsm3,assets/audio/level11/day06/l11-d06-p02-normal.mp3,assets/audio/level11/day06/l11-d06-p02-slow.mp3,assets/video/level11/day06/l11-d06-p02-scene.mp4,assets/images/video-posters/level11/day06/l11-d06-p02-poster.webp,assets/images/lesson-scenes/level11/day06/l11-d06-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,6,1,كلام سريع في الشارع,3,L11-D06-P03,chno glti 3la had blasa?,شنو قلتي على هاد البلاصة؟,What did you say about this place?,You catch the topic but not the detail.,glit qriba.,Ask about the key noun or place.,chno / glti / 3la / had / blasa,assets/audio/level11/day06/l11-d06-p03-normal.mp3,assets/audio/level11/day06/l11-d06-p03-slow.mp3,assets/video/level11/day06/l11-d06-p03-scene.mp4,assets/images/video-posters/level11/day06/l11-d06-p03-poster.webp,assets/images/lesson-scenes/level11/day06/l11-d06-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,6,1,كلام سريع في الشارع,4,L11-D06-P04,"sma7 lia, lhdra sria",سمح ليا، الهضرة سريعة,"Sorry, the speech is fast.",You explain why you need repetition.,"la bas, n9olha b shwiya.",Politeness lowers pressure in public.,sma7 / lia / lhdra / sria,assets/audio/level11/day06/l11-d06-p04-normal.mp3,assets/audio/level11/day06/l11-d06-p04-slow.mp3,assets/video/level11/day06/l11-d06-p04-scene.mp4,assets/images/video-posters/level11/day06/l11-d06-p04-poster.webp,assets/images/lesson-scenes/level11/day06/l11-d06-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,6,1,كلام سريع في الشارع,5,L11-D06-P05,daba wde7at lia,دابا وضحات ليا,Now it became clear to me.,"After repetition, you understand the sentence.",mzyan.,Confirm understanding so the speaker can continue.,daba / wde7at / lia,assets/audio/level11/day06/l11-d06-p05-normal.mp3,assets/audio/level11/day06/l11-d06-p05-slow.mp3,assets/video/level11/day06/l11-d06-p05-scene.mp4,assets/images/video-posters/level11/day06/l11-d06-p05-poster.webp,assets/images/lesson-scenes/level11/day06/l11-d06-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,7,1,مراجعة أسبوع 1: واتساب أساسي,1,L11-D07-P01,3raft n9ra lmessage daba,عرفت نقرا الميساج دابا,I can read the message now.,You review reading a Darija chat message.,bravo 3lik.,"Celebrate practical reading, not grammar.",3raft / n9ra / lmessage / daba,assets/audio/level11/day07/l11-d07-p01-normal.mp3,assets/audio/level11/day07/l11-d07-p01-slow.mp3,assets/video/level11/day07/l11-d07-p01-scene.mp4,assets/images/video-posters/level11/day07/l11-d07-p01-poster.webp,assets/images/lesson-scenes/level11/day07/l11-d07-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,7,1,مراجعة أسبوع 1: واتساب أساسي,2,L11-D07-P02,3raft 3 w 7 w 9,عرفت 3 و 7 و 9,"I understood 3, 7, and 9.",You summarize the first week skill.,mzyan bzaf.,Symbol recognition unlocks many messages.,3raft / 3 / w / 7 / w / 9,assets/audio/level11/day07/l11-d07-p02-normal.mp3,assets/audio/level11/day07/l11-d07-p02-slow.mp3,assets/video/level11/day07/l11-d07-p02-scene.mp4,assets/images/video-posters/level11/day07/l11-d07-p02-poster.webp,assets/images/lesson-scenes/level11/day07/l11-d07-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,7,1,مراجعة أسبوع 1: واتساب أساسي,3,L11-D07-P03,"ila ma fhmtsh, nsawal",إلا ما فهمتش، نسول,"If I do not understand, I ask.",You decide your learner strategy.,hadi hiya.,Asking is part of real communication.,ila / ma / fhmtsh / nsawal,assets/audio/level11/day07/l11-d07-p03-normal.mp3,assets/audio/level11/day07/l11-d07-p03-slow.mp3,assets/video/level11/day07/l11-d07-p03-scene.mp4,assets/images/video-posters/level11/day07/l11-d07-p03-poster.webp,assets/images/lesson-scenes/level11/day07/l11-d07-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,7,1,مراجعة أسبوع 1: واتساب أساسي,4,L11-D07-P04,lmessage kan sahl daba,الميساج كان ساهل دابا,The message was easy now.,You reread a message after decoding numbers.,bditi katfhem.,Progress should feel situational.,lmessage / kan / sahl / daba,assets/audio/level11/day07/l11-d07-p04-normal.mp3,assets/audio/level11/day07/l11-d07-p04-slow.mp3,assets/video/level11/day07/l11-d07-p04-scene.mp4,assets/images/video-posters/level11/day07/l11-d07-p04-poster.webp,assets/images/lesson-scenes/level11/day07/l11-d07-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,7,1,مراجعة أسبوع 1: واتساب أساسي,5,L11-D07-P05,n9dro nkhdmo b voice daba,نقدرو نخدمو بڤويس دابا,We can work with voice now.,You move from text to voice messages.,yallah.,Level 11 moves from writing to native sound.,n9dro / nkhdmo / b / voice / daba,assets/audio/level11/day07/l11-d07-p05-normal.mp3,assets/audio/level11/day07/l11-d07-p05-slow.mp3,assets/video/level11/day07/l11-d07-p05-scene.mp4,assets/images/video-posters/level11/day07/l11-d07-p05-poster.webp,assets/images/lesson-scenes/level11/day07/l11-d07-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,8,2,اختصارات التحية والرد,1,L11-D08-P01,"salam, labas?",سلام، لاباس؟,"Hi, are you okay?",You start a quick WhatsApp chat.,"labas, hamdullah.",Short greetings are normal in daily chat.,salam / labas,assets/audio/level11/day08/l11-d08-p01-normal.mp3,assets/audio/level11/day08/l11-d08-p01-slow.mp3,assets/video/level11/day08/l11-d08-p01-scene.mp4,assets/images/video-posters/level11/day08/l11-d08-p01-poster.webp,assets/images/lesson-scenes/level11/day08/l11-d08-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,8,2,اختصارات التحية والرد,2,L11-D08-P02,"labas, nta?",لاباس، نتا؟,"I am okay, and you?",You reply to a greeting.,ana bikhir.,Mirror the question to keep the chat natural.,labas / nta,assets/audio/level11/day08/l11-d08-p02-normal.mp3,assets/audio/level11/day08/l11-d08-p02-slow.mp3,assets/video/level11/day08/l11-d08-p02-scene.mp4,assets/images/video-posters/level11/day08/l11-d08-p02-poster.webp,assets/images/lesson-scenes/level11/day08/l11-d08-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,8,2,اختصارات التحية والرد,3,L11-D08-P03,kolshi bikhir?,كلشي بخير؟,Is everything okay?,You check on a friend briefly.,"iyah, kolshi mzyan.",This phrase is common and warm.,kolshi / bikhir,assets/audio/level11/day08/l11-d08-p03-normal.mp3,assets/audio/level11/day08/l11-d08-p03-slow.mp3,assets/video/level11/day08/l11-d08-p03-scene.mp4,assets/images/video-posters/level11/day08/l11-d08-p03-poster.webp,assets/images/lesson-scenes/level11/day08/l11-d08-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
