level,levelNameEnglish,levelNameArabic,day,week,dayTitle,phraseNumber,id,scenario,english,friendlyLatin,arabic,possibleMoroccanReply,cultureNote,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,mediaProductionStatus
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,3,1,طقوس أتاي,1,L10-D03-P01,You accept tea politely.,"Yes, tea would be nice, thank you.","iyeh, atay mzyan, shukran",إيه، أتاي مزيان، شكراً,bssa7a w ra7a,Accepting tea often means accepting hospitality.,assets/audio/level10/day03/l10-d03-p01-normal.mp3,assets/audio/level10/day03/l10-d03-p01-slow.mp3,assets/video/level10/day03/l10-d03-p01-scene.mp4,assets/images/video-posters/level10/day03/l10-d03-p01-poster.webp,assets/images/lesson-scenes/level10/day03/l10-d03-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,3,1,طقوس أتاي,2,L10-D03-P02,You praise the tea.,"The tea is delicious, tbarkellah.","atay bnine, tbarkellah",أتاي بنين، تبارك الله,bssa7tek,Praising tea honors the host’s welcome.,assets/audio/level10/day03/l10-d03-p02-normal.mp3,assets/audio/level10/day03/l10-d03-p02-slow.mp3,assets/video/level10/day03/l10-d03-p02-scene.mp4,assets/images/video-posters/level10/day03/l10-d03-p02-poster.webp,assets/images/lesson-scenes/level10/day03/l10-d03-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,3,1,طقوس أتاي,3,L10-D03-P03,You ask for a little sugar only.,"Just a little sugar, please.",ghir shwiya skkar aafak,غير شوية سكر عافاك,wakha,Tea is often sweet; ask softly if you prefer less sugar.,assets/audio/level10/day03/l10-d03-p03-normal.mp3,assets/audio/level10/day03/l10-d03-p03-slow.mp3,assets/video/level10/day03/l10-d03-p03-scene.mp4,assets/images/video-posters/level10/day03/l10-d03-p03-poster.webp,assets/images/lesson-scenes/level10/day03/l10-d03-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,3,1,طقوس أتاي,4,L10-D03-P04,You say one glass is enough politely.,"One glass is enough for me, thank you.","kass wahed kafini, shukran",كاس واحد كافيني، شكراً,b ra7tek,Refusing more works best with thanks and a reason.,assets/audio/level10/day03/l10-d03-p04-normal.mp3,assets/audio/level10/day03/l10-d03-p04-slow.mp3,assets/video/level10/day03/l10-d03-p04-scene.mp4,assets/images/video-posters/level10/day03/l10-d03-p04-poster.webp,assets/images/lesson-scenes/level10/day03/l10-d03-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,3,1,طقوس أتاي,5,L10-D03-P05,You thank them for the hospitality.,Thank you for the hospitality.,shukran 3la diyafa,شكراً على الضيافة,la shukran 3la wajib,"Hospitality is a relationship act, not just service.",assets/audio/level10/day03/l10-d03-p05-normal.mp3,assets/audio/level10/day03/l10-d03-p05-slow.mp3,assets/video/level10/day03/l10-d03-p05-scene.mp4,assets/images/video-posters/level10/day03/l10-d03-p05-poster.webp,assets/images/lesson-scenes/level10/day03/l10-d03-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,4,1,الأكل مع الناس,1,L10-D04-P01,You say God’s name before eating.,In the name of God.,bismillah,بسم الله,bismillah,Bismillah before eating is widely understood and respectful.,assets/audio/level10/day04/l10-d04-p01-normal.mp3,assets/audio/level10/day04/l10-d04-p01-slow.mp3,assets/video/level10/day04/l10-d04-p01-scene.mp4,assets/images/video-posters/level10/day04/l10-d04-p01-poster.webp,assets/images/lesson-scenes/level10/day04/l10-d04-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,4,1,الأكل مع الناس,2,L10-D04-P02,You tell others to enjoy the food.,Enjoy your meal.,bssa7a w ra7a,بالصحة والراحة,lah y3tik ssa7a,"Bssa7a works for food, drink, clothes, and nice things.",assets/audio/level10/day04/l10-d04-p02-normal.mp3,assets/audio/level10/day04/l10-d04-p02-slow.mp3,assets/video/level10/day04/l10-d04-p02-scene.mp4,assets/images/video-posters/level10/day04/l10-d04-p02-poster.webp,assets/images/lesson-scenes/level10/day04/l10-d04-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,4,1,الأكل مع الناس,3,L10-D04-P03,You praise the food.,The food is very good.,l-makla bnina bzzaf,الماكلة بنينة بزاف,bssa7tek,Food praise is a strong way to thank the host.,assets/audio/level10/day04/l10-d04-p03-normal.mp3,assets/audio/level10/day04/l10-d04-p03-slow.mp3,assets/video/level10/day04/l10-d04-p03-scene.mp4,assets/images/video-posters/level10/day04/l10-d04-p03-poster.webp,assets/images/lesson-scenes/level10/day04/l10-d04-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,4,1,الأكل مع الناس,4,L10-D04-P04,You say you are full politely.,"I am full, thank God.",shbe3t lhamdullah,شبعت الحمد لله,zid shwiya,Hosts may offer more; answer warmly.,assets/audio/level10/day04/l10-d04-p04-normal.mp3,assets/audio/level10/day04/l10-d04-p04-slow.mp3,assets/video/level10/day04/l10-d04-p04-scene.mp4,assets/images/video-posters/level10/day04/l10-d04-p04-poster.webp,assets/images/lesson-scenes/level10/day04/l10-d04-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,4,1,الأكل مع الناس,5,L10-D04-P05,You ask if you can help.,Can I help with something?,n9dr n3awn b chi haja?,نقدر نعاون بشي حاجة؟,"la, ghir rta7",Offering help is polite even if the host refuses.,assets/audio/level10/day04/l10-d04-p05-normal.mp3,assets/audio/level10/day04/l10-d04-p05-slow.mp3,assets/video/level10/day04/l10-d04-p05-scene.mp4,assets/images/video-posters/level10/day04/l10-d04-p05-poster.webp,assets/images/lesson-scenes/level10/day04/l10-d04-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,5,1,الجمعة والكسكس,1,L10-D05-P01,You ask if couscous is on Friday.,Is couscous for Friday?,wash l-kseksu nhar ljm3a?,واش الكسكس نهار الجمعة؟,"iyeh, 3la l-ghalib",Friday couscous is a familiar cultural rhythm in many families.,assets/audio/level10/day05/l10-d05-p01-normal.mp3,assets/audio/level10/day05/l10-d05-p01-slow.mp3,assets/video/level10/day05/l10-d05-p01-scene.mp4,assets/images/video-posters/level10/day05/l10-d05-p01-poster.webp,assets/images/lesson-scenes/level10/day05/l10-d05-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,5,1,الجمعة والكسكس,2,L10-D05-P02,You wish people a blessed Friday.,Blessed Friday.,jm3a mbaraka,جمعة مباركة,allah ybarek fik,This greeting is common on Fridays.,assets/audio/level10/day05/l10-d05-p02-normal.mp3,assets/audio/level10/day05/l10-d05-p02-slow.mp3,assets/video/level10/day05/l10-d05-p02-scene.mp4,assets/images/video-posters/level10/day05/l10-d05-p02-poster.webp,assets/images/lesson-scenes/level10/day05/l10-d05-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,5,1,الجمعة والكسكس,3,L10-D05-P03,You ask what time lunch is.,What time is lunch?,f sh7al l-ghda?,فشحال الغدا؟,mlli nrj3o mn s-sla,Friday schedule may revolve around prayer and family lunch.,assets/audio/level10/day05/l10-d05-p03-normal.mp3,assets/audio/level10/day05/l10-d05-p03-slow.mp3,assets/video/level10/day05/l10-d05-p03-scene.mp4,assets/images/video-posters/level10/day05/l10-d05-p03-poster.webp,assets/images/lesson-scenes/level10/day05/l10-d05-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,5,1,الجمعة والكسكس,4,L10-D05-P04,You say the couscous smells good.,The couscous smells good.,ri7a dyal l-kseksu zwina,ريحة ديال الكسكس زوينة,bssa7tek,Commenting on smell/food can be friendly praise.,assets/audio/level10/day05/l10-d05-p04-normal.mp3,assets/audio/level10/day05/l10-d05-p04-slow.mp3,assets/video/level10/day05/l10-d05-p04-scene.mp4,assets/images/video-posters/level10/day05/l10-d05-p04-poster.webp,assets/images/lesson-scenes/level10/day05/l10-d05-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,5,1,الجمعة والكسكس,5,L10-D05-P05,You thank the family after lunch.,"Thank you, lunch was wonderful.","shukran, l-ghda kan zwin bzzaf",شكراً، الغدا كان زوين بزاف,bssa7tek,"Thank the family after shared food, not only the cook.",assets/audio/level10/day05/l10-d05-p05-normal.mp3,assets/audio/level10/day05/l10-d05-p05-slow.mp3,assets/video/level10/day05/l10-d05-p05-scene.mp4,assets/images/video-posters/level10/day05/l10-d05-p05-poster.webp,assets/images/lesson-scenes/level10/day05/l10-d05-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,6,1,رمضان والفطور,1,L10-D06-P01,You greet someone in Ramadan.,Ramadan blessed.,ramadan mubarak,رمضان مبارك,allah ybarek fik,Ramadan greetings show awareness and respect.,assets/audio/level10/day06/l10-d06-p01-normal.mp3,assets/audio/level10/day06/l10-d06-p01-slow.mp3,assets/video/level10/day06/l10-d06-p01-scene.mp4,assets/images/video-posters/level10/day06/l10-d06-p01-poster.webp,assets/images/lesson-scenes/level10/day06/l10-d06-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,6,1,رمضان والفطور,2,L10-D06-P02,You ask if they are fasting politely.,Are you fasting today?,wash sayem lyoum?,واش صايم اليوم؟,iyeh lhamdullah,Ask gently; fasting is personal.,assets/audio/level10/day06/l10-d06-p02-normal.mp3,assets/audio/level10/day06/l10-d06-p02-slow.mp3,assets/video/level10/day06/l10-d06-p02-scene.mp4,assets/images/video-posters/level10/day06/l10-d06-p02-poster.webp,assets/images/lesson-scenes/level10/day06/l10-d06-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,6,1,رمضان والفطور,3,L10-D06-P03,You say may God accept your fast.,May God accept your fast.,lah ytaqbel siyamk,الله يتقبل صيامك,amin,A blessing phrase is warmer than a plain compliment.,assets/audio/level10/day06/l10-d06-p03-normal.mp3,assets/audio/level10/day06/l10-d06-p03-slow.mp3,assets/video/level10/day06/l10-d06-p03-scene.mp4,assets/images/video-posters/level10/day06/l10-d06-p03-poster.webp,assets/images/lesson-scenes/level10/day06/l10-d06-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,6,1,رمضان والفطور,4,L10-D06-P04,You ask what time ftour is.,What time is ftour?,f sh7al l-ftor?,فشحال الفطور؟,m3a l-mghrib,"In Morocco, ftour is the fast-breaking meal.",assets/audio/level10/day06/l10-d06-p04-normal.mp3,assets/audio/level10/day06/l10-d06-p04-slow.mp3,assets/video/level10/day06/l10-d06-p04-scene.mp4,assets/images/video-posters/level10/day06/l10-d06-p04-poster.webp,assets/images/lesson-scenes/level10/day06/l10-d06-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,6,1,رمضان والفطور,5,L10-D06-P05,You say you will wait until ftour.,I will wait until ftour.,ghadi ntsenna 7ta l-ftor,غادي نتسنى حتى الفطور,mzyan,Waiting shows sensitivity when others are fasting.,assets/audio/level10/day06/l10-d06-p05-normal.mp3,assets/audio/level10/day06/l10-d06-p05-slow.mp3,assets/video/level10/day06/l10-d06-p05-scene.mp4,assets/images/video-posters/level10/day06/l10-d06-p05-poster.webp,assets/images/lesson-scenes/level10/day06/l10-d06-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,7,1,مراجعة الأسبوع الأول,1,L10-D07-P01,You greet everyone and ask about family.,"Peace be upon you, how is the family?","salam 3likom, kif dayera l-3a2ila?",سلام عليكم، كيف دايرة العائلة؟,kolshi bikhir,Review warm greeting.,assets/audio/level10/day07/l10-d07-p01-normal.mp3,assets/audio/level10/day07/l10-d07-p01-slow.mp3,assets/video/level10/day07/l10-d07-p01-scene.mp4,assets/images/video-posters/level10/day07/l10-d07-p01-poster.webp,assets/images/lesson-scenes/level10/day07/l10-d07-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,7,1,مراجعة الأسبوع الأول,2,L10-D07-P02,You thank the host and ask where to sit.,Thank you for inviting me; where should I sit?,"shukran 3la l-3rida, fin ngles?",شكراً على العريضة، فين نگلس؟,gles hna,Review home visit etiquette.,assets/audio/level10/day07/l10-d07-p02-normal.mp3,assets/audio/level10/day07/l10-d07-p02-slow.mp3,assets/video/level10/day07/l10-d07-p02-scene.mp4,assets/images/video-posters/level10/day07/l10-d07-p02-poster.webp,assets/images/lesson-scenes/level10/day07/l10-d07-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,7,1,مراجعة الأسبوع الأول,3,L10-D07-P03,You accept tea and praise it.,"Yes, tea would be nice; it is delicious.","iyeh atay mzyan, bnine bzzaf",إيه أتاي مزيان، بنين بزاف,bssa7tek,Review hospitality.,assets/audio/level10/day07/l10-d07-p03-normal.mp3,assets/audio/level10/day07/l10-d07-p03-slow.mp3,assets/video/level10/day07/l10-d07-p03-scene.mp4,assets/images/video-posters/level10/day07/l10-d07-p03-poster.webp,assets/images/lesson-scenes/level10/day07/l10-d07-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,7,1,مراجعة الأسبوع الأول,4,L10-D07-P04,You say you are full and thank them.,"I am full, thank God; thank you for the food.","shbe3t lhamdullah, shukran 3la l-makla",شبعت الحمد لله، شكراً على الماكلة,bssa7tek,Review table phrases.,assets/audio/level10/day07/l10-d07-p04-normal.mp3,assets/audio/level10/day07/l10-d07-p04-slow.mp3,assets/video/level10/day07/l10-d07-p04-scene.mp4,assets/images/video-posters/level10/day07/l10-d07-p04-poster.webp,assets/images/lesson-scenes/level10/day07/l10-d07-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,7,1,مراجعة الأسبوع الأول,5,L10-D07-P05,You greet for Ramadan or Friday.,Blessed Friday and Ramadan blessed.,jm3a mbaraka w ramadan mubarak,جمعة مباركة ورمضان مبارك,allah ybarek fik,Review religious/social greetings.,assets/audio/level10/day07/l10-d07-p05-normal.mp3,assets/audio/level10/day07/l10-d07-p05-slow.mp3,assets/video/level10/day07/l10-d07-p05-scene.mp4,assets/images/video-posters/level10/day07/l10-d07-p05-poster.webp,assets/images/lesson-scenes/level10/day07/l10-d07-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,8,2,العيد والزيارات,1,L10-D08-P01,You wish someone a blessed Eid.,Blessed Eid.,3id mubarak said,عيد مبارك سعيد,3lina w 3lik,Classic Eid greeting.,assets/audio/level10/day08/l10-d08-p01-normal.mp3,assets/audio/level10/day08/l10-d08-p01-slow.mp3,assets/video/level10/day08/l10-d08-p01-scene.mp4,assets/images/video-posters/level10/day08/l10-d08-p01-poster.webp,assets/images/lesson-scenes/level10/day08/l10-d08-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,8,2,العيد والزيارات,2,L10-D08-P02,You say every year may you be well.,May you be well every year.,kol 3am w nta bikhir,كل عام ونتا بخير,w nta bikhir,Common Eid and celebration greeting.,assets/audio/level10/day08/l10-d08-p02-normal.mp3,assets/audio/level10/day08/l10-d08-p02-slow.mp3,assets/video/level10/day08/l10-d08-p02-scene.mp4,assets/images/video-posters/level10/day08/l10-d08-p02-poster.webp,assets/images/lesson-scenes/level10/day08/l10-d08-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,8,2,العيد والزيارات,3,L10-D08-P03,You ask if they visited family.,Did you visit the family?,wash zerti l-3a2ila?,واش زرتي العائلة؟,"iyeh, lhamdullah",Eid often means family visits.,assets/audio/level10/day08/l10-d08-p03-normal.mp3,assets/audio/level10/day08/l10-d08-p03-slow.mp3,assets/video/level10/day08/l10-d08-p03-scene.mp4,assets/images/video-posters/level10/day08/l10-d08-p03-poster.webp,assets/images/lesson-scenes/level10/day08/l10-d08-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,8,2,العيد والزيارات,4,L10-D08-P04,You say may God bring it back with good.,May God bring it back with good.,lah y3awdo 3lik b lkhir,الله يعاودو عليك بالخير,amin,Blessing phrases sound culturally natural.,assets/audio/level10/day08/l10-d08-p04-normal.mp3,assets/audio/level10/day08/l10-d08-p04-slow.mp3,assets/video/level10/day08/l10-d08-p04-scene.mp4,assets/images/video-posters/level10/day08/l10-d08-p04-poster.webp,assets/images/lesson-scenes/level10/day08/l10-d08-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,8,2,العيد والزيارات,5,L10-D08-P05,You apologize for being late with Eid greetings.,"Sorry, my Eid greeting is late.","sme7 lia, t3yidi ja mt2akher",سمح ليا، تعييدي جا متأخر,ma kayn bas,Late greetings can still be warm if acknowledged.,assets/audio/level10/day08/l10-d08-p05-normal.mp3,assets/audio/level10/day08/l10-d08-p05-slow.mp3,assets/video/level10/day08/l10-d08-p05-scene.mp4,assets/images/video-posters/level10/day08/l10-d08-p05-poster.webp,assets/images/lesson-scenes/level10/day08/l10-d08-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,9,2,الحمّام والعناية,1,L10-D09-P01,You ask if today is good for hammam.,Is today good for hammam?,wash lyoum mzyan l-hammam?,واش اليوم مزيان للحمام؟,"iyeh, ghadi nmshiw","Hammam is social and practical, not only tourist spa.",assets/audio/level10/day09/l10-d09-p01-normal.mp3,assets/audio/level10/day09/l10-d09-p01-slow.mp3,assets/video/level10/day09/l10-d09-p01-scene.mp4,assets/images/video-posters/level10/day09/l10-d09-p01-poster.webp,assets/images/lesson-scenes/level10/day09/l10-d09-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,9,2,الحمّام والعناية,2,L10-D09-P02,You ask what you should bring.,What should I bring?,ashno khasni njib?,أشنو خاصني نجيب؟,jib saboun w kasal,Asking prevents embarrassment in a local hammam.,assets/audio/level10/day09/l10-d09-p02-normal.mp3,assets/audio/level10/day09/l10-d09-p02-slow.mp3,assets/video/level10/day09/l10-d09-p02-scene.mp4,assets/images/video-posters/level10/day09/l10-d09-p02-poster.webp,assets/images/lesson-scenes/level10/day09/l10-d09-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
