level,levelNameEnglish,levelNameArabic,day,dayTheme,situationNo,sceneId,targetPhraseId,sceneRole,sceneTitle,place,trigger,learnerGoal,learnerSaysIntent,possibleMoroccanReply,cultureRule,imagePromptSeed,videoActionSeed,mediaReadinessRule,differentiationNote
1,Survival Travel,النجاة السياحية في المغرب,3,الدخول إلى الفندق أو الرياض,1,L01-D03-S01,L01-D03-P01,فتح الموقف,فتح الموقف — الدخول إلى الفندق أو الرياض,مقهى,المتعلم في مقهى ضمن موقف: الدخول إلى الفندق أو الرياض. يحتاج أن يتصرف بدون ترجمة طويلة.,يفتح المتعلم الكلام بطريقة طبيعية ومهذبة. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الدخول إلى الفندق أو الرياض.,يقول جملة دارجة قصيرة تؤدي وظيفة: فتح الموقف في موقف الدخول إلى الفندق أو الرياض.,لا، سمح ليا.,الشكر في النهاية يترك أثرًا جيدًا حتى لو لم يتم الاتفاق.,صورة ذهنية واقعية: متعلم أجنبي في مقهى بالمغرب، الموقف هو “الدخول إلى الفندق أو الرياض”، واللقطة تُظهر لحظة فتح الموقف بدون نص كثير.,فيديو قصير: يبدأ المشهد في مقهى، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “لا، سمح ليا.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,3,الدخول إلى الفندق أو الرياض,2,L01-D03-S02,L01-D03-P02,طلب أساسي,طلب أساسي — الدخول إلى الفندق أو الرياض,مقهى,المتعلم في مقهى ضمن موقف: الدخول إلى الفندق أو الرياض. يحتاج أن يتصرف بدون ترجمة طويلة.,يطلب المتعلم شيئًا واضحًا مرتبطًا بالموقف. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الدخول إلى الفندق أو الرياض.,يقول جملة دارجة قصيرة تؤدي وظيفة: طلب أساسي في موقف الدخول إلى الفندق أو الرياض.,فين بغيتي؟,الصوت المغربي هو المرجع، والكتابة اللاتينية تساعد فقط.,صورة ذهنية واقعية: متعلم أجنبي في مقهى بالمغرب، الموقف هو “الدخول إلى الفندق أو الرياض”، واللقطة تُظهر لحظة طلب أساسي بدون نص كثير.,فيديو قصير: يبدأ المشهد في مقهى، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “فين بغيتي؟”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,3,الدخول إلى الفندق أو الرياض,3,L01-D03-S03,L01-D03-P03,توضيح أو سؤال,توضيح أو سؤال — الدخول إلى الفندق أو الرياض,مقهى,المتعلم في مقهى ضمن موقف: الدخول إلى الفندق أو الرياض. يحتاج أن يتصرف بدون ترجمة طويلة.,يسأل المتعلم سؤالًا إضافيًا أو يوضح الحاجة. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الدخول إلى الفندق أو الرياض.,يقول جملة دارجة قصيرة تؤدي وظيفة: توضيح أو سؤال في موقف الدخول إلى الفندق أو الرياض.,عندك الحق.,الموقف يجب أن يبقى واقعيًا وقابلًا لصورة وفيديو.,صورة ذهنية واقعية: متعلم أجنبي في مقهى بالمغرب، الموقف هو “الدخول إلى الفندق أو الرياض”، واللقطة تُظهر لحظة توضيح أو سؤال بدون نص كثير.,فيديو قصير: يبدأ المشهد في مقهى، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “عندك الحق.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,3,الدخول إلى الفندق أو الرياض,4,L01-D03-S04,L01-D03-P04,رد على جواب مغربي,رد على جواب مغربي — الدخول إلى الفندق أو الرياض,مقهى,المتعلم في مقهى ضمن موقف: الدخول إلى الفندق أو الرياض. يحتاج أن يتصرف بدون ترجمة طويلة.,يتعامل المتعلم مع جواب مغربي محتمل أو سوء فهم. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الدخول إلى الفندق أو الرياض.,يقول جملة دارجة قصيرة تؤدي وظيفة: رد على جواب مغربي في موقف الدخول إلى الفندق أو الرياض.,غادي نعاونك.,استعمال “عافاك” يجعل الطلب ألطف مع الغرباء.,صورة ذهنية واقعية: متعلم أجنبي في مقهى بالمغرب، الموقف هو “الدخول إلى الفندق أو الرياض”، واللقطة تُظهر لحظة رد على جواب مغربي بدون نص كثير.,فيديو قصير: يبدأ المشهد في مقهى، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “غادي نعاونك.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,3,الدخول إلى الفندق أو الرياض,5,L01-D03-S05,L01-D03-P05,إغلاق الموقف,إغلاق الموقف — الدخول إلى الفندق أو الرياض,مقهى,المتعلم في مقهى ضمن موقف: الدخول إلى الفندق أو الرياض. يحتاج أن يتصرف بدون ترجمة طويلة.,ينهي المتعلم الموقف بأدب أو يتخذ قرارًا واضحًا. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الدخول إلى الفندق أو الرياض.,يقول جملة دارجة قصيرة تؤدي وظيفة: إغلاق الموقف في موقف الدخول إلى الفندق أو الرياض.,صافي، اتفقنا.,الابتسامة ونبرة هادئة مهمة في المواقف اليومية بالمغرب.,صورة ذهنية واقعية: متعلم أجنبي في مقهى بالمغرب، الموقف هو “الدخول إلى الفندق أو الرياض”، واللقطة تُظهر لحظة إغلاق الموقف بدون نص كثير.,فيديو قصير: يبدأ المشهد في مقهى، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “صافي، اتفقنا.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,4,أول مقهى,1,L01-D04-S01,L01-D04-P01,فتح الموقف,فتح الموقف — أول مقهى,سوق,المتعلم في سوق ضمن موقف: أول مقهى. يحتاج أن يتصرف بدون ترجمة طويلة.,يفتح المتعلم الكلام بطريقة طبيعية ومهذبة. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول مقهى.,يقول جملة دارجة قصيرة تؤدي وظيفة: فتح الموقف في موقف أول مقهى.,فين بغيتي؟,استعمال “عافاك” يجعل الطلب ألطف مع الغرباء.,صورة ذهنية واقعية: متعلم أجنبي في سوق بالمغرب، الموقف هو “أول مقهى”، واللقطة تُظهر لحظة فتح الموقف بدون نص كثير.,فيديو قصير: يبدأ المشهد في سوق، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “فين بغيتي؟”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,4,أول مقهى,2,L01-D04-S02,L01-D04-P02,طلب أساسي,طلب أساسي — أول مقهى,سوق,المتعلم في سوق ضمن موقف: أول مقهى. يحتاج أن يتصرف بدون ترجمة طويلة.,يطلب المتعلم شيئًا واضحًا مرتبطًا بالموقف. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول مقهى.,يقول جملة دارجة قصيرة تؤدي وظيفة: طلب أساسي في موقف أول مقهى.,عندك الحق.,الابتسامة ونبرة هادئة مهمة في المواقف اليومية بالمغرب.,صورة ذهنية واقعية: متعلم أجنبي في سوق بالمغرب، الموقف هو “أول مقهى”، واللقطة تُظهر لحظة طلب أساسي بدون نص كثير.,فيديو قصير: يبدأ المشهد في سوق، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “عندك الحق.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,4,أول مقهى,3,L01-D04-S03,L01-D04-P03,توضيح أو سؤال,توضيح أو سؤال — أول مقهى,سوق,المتعلم في سوق ضمن موقف: أول مقهى. يحتاج أن يتصرف بدون ترجمة طويلة.,يسأل المتعلم سؤالًا إضافيًا أو يوضح الحاجة. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول مقهى.,يقول جملة دارجة قصيرة تؤدي وظيفة: توضيح أو سؤال في موقف أول مقهى.,غادي نعاونك.,في المغرب كثير من التفاهم يتم بعبارات قصيرة وسياق واضح.,صورة ذهنية واقعية: متعلم أجنبي في سوق بالمغرب، الموقف هو “أول مقهى”، واللقطة تُظهر لحظة توضيح أو سؤال بدون نص كثير.,فيديو قصير: يبدأ المشهد في سوق، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “غادي نعاونك.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,4,أول مقهى,4,L01-D04-S04,L01-D04-P04,رد على جواب مغربي,رد على جواب مغربي — أول مقهى,سوق,المتعلم في سوق ضمن موقف: أول مقهى. يحتاج أن يتصرف بدون ترجمة طويلة.,يتعامل المتعلم مع جواب مغربي محتمل أو سوء فهم. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول مقهى.,يقول جملة دارجة قصيرة تؤدي وظيفة: رد على جواب مغربي في موقف أول مقهى.,صافي، اتفقنا.,الأدب أهم من الترجمة الحرفية، خصوصًا مع كبار السن أو المضيفين.,صورة ذهنية واقعية: متعلم أجنبي في سوق بالمغرب، الموقف هو “أول مقهى”، واللقطة تُظهر لحظة رد على جواب مغربي بدون نص كثير.,فيديو قصير: يبدأ المشهد في سوق، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “صافي، اتفقنا.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,4,أول مقهى,5,L01-D04-S05,L01-D04-P05,إغلاق الموقف,إغلاق الموقف — أول مقهى,سوق,المتعلم في سوق ضمن موقف: أول مقهى. يحتاج أن يتصرف بدون ترجمة طويلة.,ينهي المتعلم الموقف بأدب أو يتخذ قرارًا واضحًا. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول مقهى.,يقول جملة دارجة قصيرة تؤدي وظيفة: إغلاق الموقف في موقف أول مقهى.,واخا، مرحبا.,السؤال القصير أفضل للمبتدئ من شرح طويل ومعقد.,صورة ذهنية واقعية: متعلم أجنبي في سوق بالمغرب، الموقف هو “أول مقهى”، واللقطة تُظهر لحظة إغلاق الموقف بدون نص كثير.,فيديو قصير: يبدأ المشهد في سوق، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “واخا، مرحبا.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,5,طلب الماء والشاي والقهوة,1,L01-D05-S01,L01-D05-P01,فتح الموقف,فتح الموقف — طلب الماء والشاي والقهوة,شارع,المتعلم في شارع ضمن موقف: طلب الماء والشاي والقهوة. يحتاج أن يتصرف بدون ترجمة طويلة.,يفتح المتعلم الكلام بطريقة طبيعية ومهذبة. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: طلب الماء والشاي والقهوة.,يقول جملة دارجة قصيرة تؤدي وظيفة: فتح الموقف في موقف طلب الماء والشاي والقهوة.,عندك الحق.,الأدب أهم من الترجمة الحرفية، خصوصًا مع كبار السن أو المضيفين.,صورة ذهنية واقعية: متعلم أجنبي في شارع بالمغرب، الموقف هو “طلب الماء والشاي والقهوة”، واللقطة تُظهر لحظة فتح الموقف بدون نص كثير.,فيديو قصير: يبدأ المشهد في شارع، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “عندك الحق.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,5,طلب الماء والشاي والقهوة,2,L01-D05-S02,L01-D05-P02,طلب أساسي,طلب أساسي — طلب الماء والشاي والقهوة,شارع,المتعلم في شارع ضمن موقف: طلب الماء والشاي والقهوة. يحتاج أن يتصرف بدون ترجمة طويلة.,يطلب المتعلم شيئًا واضحًا مرتبطًا بالموقف. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: طلب الماء والشاي والقهوة.,يقول جملة دارجة قصيرة تؤدي وظيفة: طلب أساسي في موقف طلب الماء والشاي والقهوة.,غادي نعاونك.,السؤال القصير أفضل للمبتدئ من شرح طويل ومعقد.,صورة ذهنية واقعية: متعلم أجنبي في شارع بالمغرب، الموقف هو “طلب الماء والشاي والقهوة”، واللقطة تُظهر لحظة طلب أساسي بدون نص كثير.,فيديو قصير: يبدأ المشهد في شارع، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “غادي نعاونك.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
