level,day,week,dayTitle,phraseId,scenario,english,friendlyLatin,arabic,possibleMoroccanReply,cultureNote,pronunciationParts,status,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,imagePromptSeed,videoActionSeed
8,3,1,موعد مع الطبيب,L08-D03-P01,You ask for an appointment.,Can I make an appointment with a doctor?,n9dr nakhod rendez-vous m3a tbib?,نقدر ناخد رونديفو مع طبيب؟,"iyeh, imta bghiti?",Rendez-vous is a common word for medical appointments.,n9dr / nakhod / rendez-vous / m3a / tbib,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day03/l08-d03-p01-normal.mp3,assets/audio/level08/day03/l08-d03-p01-slow.mp3,assets/video/level08/day03/l08-d03-p01-scene.mp4,assets/images/video-posters/level08/day03/l08-d03-p01-poster.webp,assets/images/lesson-scenes/level08/day03/l08-d03-p01-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 3: موعد مع الطبيب. Show a foreign learner respectfully handling this situation: You ask for an appointment.. Visual focus: the phrase 'n9dr nakhod rendez-vous m3a tbib?' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'موعد مع الطبيب'. Trigger: You ask for an appointment.. Learner says 'n9dr nakhod rendez-vous m3a tbib?'. Moroccan person replies 'iyeh, imta bghiti?'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,3,1,موعد مع الطبيب,L08-D03-P02,You say it is urgent.,It is urgent.,hadshi musta3jil,هادشي مستعجل,sir daba l-clinique,Use musta3jil only when it really needs quick attention.,hadshi / musta3jil,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day03/l08-d03-p02-normal.mp3,assets/audio/level08/day03/l08-d03-p02-slow.mp3,assets/video/level08/day03/l08-d03-p02-scene.mp4,assets/images/video-posters/level08/day03/l08-d03-p02-poster.webp,assets/images/lesson-scenes/level08/day03/l08-d03-p02-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 3: موعد مع الطبيب. Show a foreign learner respectfully handling this situation: You say it is urgent.. Visual focus: the phrase 'hadshi musta3jil' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'موعد مع الطبيب'. Trigger: You say it is urgent.. Learner says 'hadshi musta3jil'. Moroccan person replies 'sir daba l-clinique'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,3,1,موعد مع الطبيب,L08-D03-P03,You say when the pain started.,The pain started yesterday.,l-wja3 bda lbare7,الوجع بدا البارح,fin kayn l-wja3?,Doctors often ask when symptoms started.,l-wja3 / bda / lbare7,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day03/l08-d03-p03-normal.mp3,assets/audio/level08/day03/l08-d03-p03-slow.mp3,assets/video/level08/day03/l08-d03-p03-scene.mp4,assets/images/video-posters/level08/day03/l08-d03-p03-poster.webp,assets/images/lesson-scenes/level08/day03/l08-d03-p03-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 3: موعد مع الطبيب. Show a foreign learner respectfully handling this situation: You say when the pain started.. Visual focus: the phrase 'l-wja3 bda lbare7' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'موعد مع الطبيب'. Trigger: You say when the pain started.. Learner says 'l-wja3 bda lbare7'. Moroccan person replies 'fin kayn l-wja3?'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,3,1,موعد مع الطبيب,L08-D03-P04,You say you took medicine.,I took some medicine.,khdit shi dwa,خديت شي دوا,shno smit dwa?,"If you took medicine, show the package when possible.",khdit / shi / dwa,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day03/l08-d03-p04-normal.mp3,assets/audio/level08/day03/l08-d03-p04-slow.mp3,assets/video/level08/day03/l08-d03-p04-scene.mp4,assets/images/video-posters/level08/day03/l08-d03-p04-poster.webp,assets/images/lesson-scenes/level08/day03/l08-d03-p04-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 3: موعد مع الطبيب. Show a foreign learner respectfully handling this situation: You say you took medicine.. Visual focus: the phrase 'khdit shi dwa' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'موعد مع الطبيب'. Trigger: You say you took medicine.. Learner says 'khdit shi dwa'. Moroccan person replies 'shno smit dwa?'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,3,1,موعد مع الطبيب,L08-D03-P05,You ask if you need tests.,Do I need tests?,wash khasni ndir analyses?,واش خاصني ندير أناليز؟,"ymkn, khasna nshofo",Analyses is commonly used for medical tests/lab work.,wash / khasni / ndir / analyses,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day03/l08-d03-p05-normal.mp3,assets/audio/level08/day03/l08-d03-p05-slow.mp3,assets/video/level08/day03/l08-d03-p05-scene.mp4,assets/images/video-posters/level08/day03/l08-d03-p05-poster.webp,assets/images/lesson-scenes/level08/day03/l08-d03-p05-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 3: موعد مع الطبيب. Show a foreign learner respectfully handling this situation: You ask if you need tests.. Visual focus: the phrase 'wash khasni ndir analyses?' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'موعد مع الطبيب'. Trigger: You ask if you need tests.. Learner says 'wash khasni ndir analyses?'. Moroccan person replies 'ymkn, khasna nshofo'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,4,1,وصف الألم والجسم,L08-D04-P01,You say your throat hurts.,My throat hurts.,7enji kaywja3ni,حنجي كيوجعني,wash 3ndk skhana?,Body-part words help the doctor or pharmacist understand quickly.,7enji / kaywja3ni,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day04/l08-d04-p01-normal.mp3,assets/audio/level08/day04/l08-d04-p01-slow.mp3,assets/video/level08/day04/l08-d04-p01-scene.mp4,assets/images/video-posters/level08/day04/l08-d04-p01-poster.webp,assets/images/lesson-scenes/level08/day04/l08-d04-p01-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 4: وصف الألم والجسم. Show a foreign learner respectfully handling this situation: You say your throat hurts.. Visual focus: the phrase '7enji kaywja3ni' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'وصف الألم والجسم'. Trigger: You say your throat hurts.. Learner says '7enji kaywja3ni'. Moroccan person replies 'wash 3ndk skhana?'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,4,1,وصف الألم والجسم,L08-D04-P02,You say your back hurts.,My back hurts.,dahri kaywja3ni,ظهري كيوجعني,bsh7al had l-wja3?,Back pain is common after travel or carrying bags.,dahri / kaywja3ni,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day04/l08-d04-p02-normal.mp3,assets/audio/level08/day04/l08-d04-p02-slow.mp3,assets/video/level08/day04/l08-d04-p02-scene.mp4,assets/images/video-posters/level08/day04/l08-d04-p02-poster.webp,assets/images/lesson-scenes/level08/day04/l08-d04-p02-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 4: وصف الألم والجسم. Show a foreign learner respectfully handling this situation: You say your back hurts.. Visual focus: the phrase 'dahri kaywja3ni' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'وصف الألم والجسم'. Trigger: You say your back hurts.. Learner says 'dahri kaywja3ni'. Moroccan person replies 'bsh7al had l-wja3?'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,4,1,وصف الألم والجسم,L08-D04-P03,You say your foot hurts.,My foot hurts.,rjli katwja3ni,رجلي كتوجعني,wash t7iti?,"Useful after walking, hiking, or a small accident.",rjli / katwja3ni,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day04/l08-d04-p03-normal.mp3,assets/audio/level08/day04/l08-d04-p03-slow.mp3,assets/video/level08/day04/l08-d04-p03-scene.mp4,assets/images/video-posters/level08/day04/l08-d04-p03-poster.webp,assets/images/lesson-scenes/level08/day04/l08-d04-p03-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 4: وصف الألم والجسم. Show a foreign learner respectfully handling this situation: You say your foot hurts.. Visual focus: the phrase 'rjli katwja3ni' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'وصف الألم والجسم'. Trigger: You say your foot hurts.. Learner says 'rjli katwja3ni'. Moroccan person replies 'wash t7iti?'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,4,1,وصف الألم والجسم,L08-D04-P04,You say the pain is strong.,The pain is strong.,l-wja3 qwi,الوجع قوي,khassek tbib,Strong pain should be taken seriously and checked.,l-wja3 / qwi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day04/l08-d04-p04-normal.mp3,assets/audio/level08/day04/l08-d04-p04-slow.mp3,assets/video/level08/day04/l08-d04-p04-scene.mp4,assets/images/video-posters/level08/day04/l08-d04-p04-poster.webp,assets/images/lesson-scenes/level08/day04/l08-d04-p04-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 4: وصف الألم والجسم. Show a foreign learner respectfully handling this situation: You say the pain is strong.. Visual focus: the phrase 'l-wja3 qwi' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'وصف الألم والجسم'. Trigger: You say the pain is strong.. Learner says 'l-wja3 qwi'. Moroccan person replies 'khassek tbib'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,4,1,وصف الألم والجسم,L08-D04-P05,You say the pain is a little better.,The pain is a little better.,l-wja3 n9es shwiya,الوجع نقص شوية,"mzyan, bqa ttab3","This helps update a doctor, pharmacist, or helper.",l-wja3 / n9es / shwiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day04/l08-d04-p05-normal.mp3,assets/audio/level08/day04/l08-d04-p05-slow.mp3,assets/video/level08/day04/l08-d04-p05-scene.mp4,assets/images/video-posters/level08/day04/l08-d04-p05-poster.webp,assets/images/lesson-scenes/level08/day04/l08-d04-p05-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 4: وصف الألم والجسم. Show a foreign learner respectfully handling this situation: You say the pain is a little better.. Visual focus: the phrase 'l-wja3 n9es shwiya' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'وصف الألم والجسم'. Trigger: You say the pain is a little better.. Learner says 'l-wja3 n9es shwiya'. Moroccan person replies 'mzyan, bqa ttab3'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,5,1,المعدة والأكل,L08-D05-P01,You say your stomach is upset.,My stomach is upset.,kershi mqlqa,كرشي مقلقة,shno kliti?,Stomach phrases are highly practical for travelers.,kershi / mqlqa,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day05/l08-d05-p01-normal.mp3,assets/audio/level08/day05/l08-d05-p01-slow.mp3,assets/video/level08/day05/l08-d05-p01-scene.mp4,assets/images/video-posters/level08/day05/l08-d05-p01-poster.webp,assets/images/lesson-scenes/level08/day05/l08-d05-p01-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 5: المعدة والأكل. Show a foreign learner respectfully handling this situation: You say your stomach is upset.. Visual focus: the phrase 'kershi mqlqa' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'المعدة والأكل'. Trigger: You say your stomach is upset.. Learner says 'kershi mqlqa'. Moroccan person replies 'shno kliti?'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,5,1,المعدة والأكل,L08-D05-P02,You say you feel like vomiting.,I feel like vomiting.,7ass blli ghadi nrje3,حاس بلّي غادي نرجع,khod l-ma bshwiya,Use clear words; vomiting can be dehydration risk.,7ass / blli / ghadi / nrje3,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day05/l08-d05-p02-normal.mp3,assets/audio/level08/day05/l08-d05-p02-slow.mp3,assets/video/level08/day05/l08-d05-p02-scene.mp4,assets/images/video-posters/level08/day05/l08-d05-p02-poster.webp,assets/images/lesson-scenes/level08/day05/l08-d05-p02-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 5: المعدة والأكل. Show a foreign learner respectfully handling this situation: You say you feel like vomiting.. Visual focus: the phrase '7ass blli ghadi nrje3' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'المعدة والأكل'. Trigger: You say you feel like vomiting.. Learner says '7ass blli ghadi nrje3'. Moroccan person replies 'khod l-ma bshwiya'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
