level,day,week,dayTitle,phraseId,scenario,english,friendlyLatin,arabic,possibleMoroccanReply,cultureNote,pronunciationParts,status,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,imagePromptSeed,videoActionSeed
7,3,1,الثمن والميزانية,L07-D03-P01,You ask for the monthly rent.,How much is the rent per month?,bsh7al l-kra f shhar?,بشحال الكرا فالشهر؟,b-kda f shhar,Rent is usually discussed monthly; confirm the amount and currency.,bsh7al / l-kra / f / shhar,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day03/l07-d03-p01-normal.mp3,assets/audio/level07/day03/l07-d03-p01-slow.mp3,assets/video/level07/day03/l07-d03-p01-scene.mp4,assets/images/video-posters/level07/day03/l07-d03-p01-poster.webp,assets/images/lesson-scenes/level07/day03/l07-d03-p01-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 3: الثمن والميزانية. Show a foreign learner respectfully handling this situation: You ask for the monthly rent.. Visual focus: the phrase 'bsh7al l-kra f shhar?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.",Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'الثمن والميزانية'. Trigger: You ask for the monthly rent.. Learner says 'bsh7al l-kra f shhar?'. Moroccan person replies 'b-kda f shhar'. End with a clear action showing the practical situation resolved respectfully.
7,3,1,الثمن والميزانية,L07-D03-P02,You say the rent is above your budget.,It is above my budget.,hada foq l-budget dyali,هادا فوق البودجي ديالي,sh7al l-budget dyalek?,Using budget language keeps negotiation practical and respectful.,hada / foq / l-budget / dyali,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day03/l07-d03-p02-normal.mp3,assets/audio/level07/day03/l07-d03-p02-slow.mp3,assets/video/level07/day03/l07-d03-p02-scene.mp4,assets/images/video-posters/level07/day03/l07-d03-p02-poster.webp,assets/images/lesson-scenes/level07/day03/l07-d03-p02-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 3: الثمن والميزانية. Show a foreign learner respectfully handling this situation: You say the rent is above your budget.. Visual focus: the phrase 'hada foq l-budget dyali' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.",Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'الثمن والميزانية'. Trigger: You say the rent is above your budget.. Learner says 'hada foq l-budget dyali'. Moroccan person replies 'sh7al l-budget dyalek?'. End with a clear action showing the practical situation resolved respectfully.
7,3,1,الثمن والميزانية,L07-D03-P03,You ask if utilities are included.,Are water and electricity included?,wash l-ma w do dakhlin?,واش الما والضو داخلين؟,"la, kaytkhllso بوحدهم",Always clarify utilities; long stays often separate rent and bills.,wash / l-ma / w / do / dakhlin,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day03/l07-d03-p03-normal.mp3,assets/audio/level07/day03/l07-d03-p03-slow.mp3,assets/video/level07/day03/l07-d03-p03-scene.mp4,assets/images/video-posters/level07/day03/l07-d03-p03-poster.webp,assets/images/lesson-scenes/level07/day03/l07-d03-p03-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 3: الثمن والميزانية. Show a foreign learner respectfully handling this situation: You ask if utilities are included.. Visual focus: the phrase 'wash l-ma w do dakhlin?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'الثمن والميزانية'. Trigger: You ask if utilities are included.. Learner says 'wash l-ma w do dakhlin?'. Moroccan person replies 'la, kaytkhllso بوحدهم'. End with a clear action showing the practical situation resolved respectfully."
7,3,1,الثمن والميزانية,L07-D03-P04,You ask for a lower price.,Can you lower it a little?,t9dr tnqes shwiya?,تقدر تنقص شوية؟,nqes lik shwiya,"For rent, negotiate gently; not every landlord accepts bargaining.",t9dr / tnqes / shwiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day03/l07-d03-p04-normal.mp3,assets/audio/level07/day03/l07-d03-p04-slow.mp3,assets/video/level07/day03/l07-d03-p04-scene.mp4,assets/images/video-posters/level07/day03/l07-d03-p04-poster.webp,assets/images/lesson-scenes/level07/day03/l07-d03-p04-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 3: الثمن والميزانية. Show a foreign learner respectfully handling this situation: You ask for a lower price.. Visual focus: the phrase 't9dr tnqes shwiya?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.",Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'الثمن والميزانية'. Trigger: You ask for a lower price.. Learner says 't9dr tnqes shwiya?'. Moroccan person replies 'nqes lik shwiya'. End with a clear action showing the practical situation resolved respectfully.
7,3,1,الثمن والميزانية,L07-D03-P05,You ask for the final price.,What is the final price?,shno akher taman?,شنو آخر ثمن؟,hada howa akher taman,Useful when you need a clear decision and no long bargaining.,shno / akher / taman,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day03/l07-d03-p05-normal.mp3,assets/audio/level07/day03/l07-d03-p05-slow.mp3,assets/video/level07/day03/l07-d03-p05-scene.mp4,assets/images/video-posters/level07/day03/l07-d03-p05-poster.webp,assets/images/lesson-scenes/level07/day03/l07-d03-p05-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 3: الثمن والميزانية. Show a foreign learner respectfully handling this situation: You ask for the final price.. Visual focus: the phrase 'shno akher taman?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.",Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'الثمن والميزانية'. Trigger: You ask for the final price.. Learner says 'shno akher taman?'. Moroccan person replies 'hada howa akher taman'. End with a clear action showing the practical situation resolved respectfully.
7,4,1,المفروش وغير المفروش,L07-D04-P01,You ask what furniture is included.,What furniture is included?,shno kayn f l-furniture?,شنو كاين فالفورنيتور؟,"kayn namousiya, tabla, w salon",Many homes mix Darija with French words for furniture and appliances.,shno / kayn / f / l-furniture,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day04/l07-d04-p01-normal.mp3,assets/audio/level07/day04/l07-d04-p01-slow.mp3,assets/video/level07/day04/l07-d04-p01-scene.mp4,assets/images/video-posters/level07/day04/l07-d04-p01-poster.webp,assets/images/lesson-scenes/level07/day04/l07-d04-p01-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 4: المفروش وغير المفروش. Show a foreign learner respectfully handling this situation: You ask what furniture is included.. Visual focus: the phrase 'shno kayn f l-furniture?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'المفروش وغير المفروش'. Trigger: You ask what furniture is included.. Learner says 'shno kayn f l-furniture?'. Moroccan person replies 'kayn namousiya, tabla, w salon'. End with a clear action showing the practical situation resolved respectfully."
7,4,1,المفروش وغير المفروش,L07-D04-P02,You ask if there is a bed.,Is there a bed?,wash kayna namousiya?,واش كاينة ناموسية؟,"iyeh, kayna","For longer stays, basic furniture details matter more than photos.",wash / kayna / namousiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day04/l07-d04-p02-normal.mp3,assets/audio/level07/day04/l07-d04-p02-slow.mp3,assets/video/level07/day04/l07-d04-p02-scene.mp4,assets/images/video-posters/level07/day04/l07-d04-p02-poster.webp,assets/images/lesson-scenes/level07/day04/l07-d04-p02-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 4: المفروش وغير المفروش. Show a foreign learner respectfully handling this situation: You ask if there is a bed.. Visual focus: the phrase 'wash kayna namousiya?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'المفروش وغير المفروش'. Trigger: You ask if there is a bed.. Learner says 'wash kayna namousiya?'. Moroccan person replies 'iyeh, kayna'. End with a clear action showing the practical situation resolved respectfully."
7,4,1,المفروش وغير المفروش,L07-D04-P03,You ask if there is a washing machine.,Is there a washing machine?,wash kayna makina dyal s-sabon?,واش كاينة ماكينة ديال الصابون؟,"iyeh, kayna w khdama",Washing-machine vocabulary varies by city; locals may also say lavadora.,wash / kayna / makina / dyal / s-sabon,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day04/l07-d04-p03-normal.mp3,assets/audio/level07/day04/l07-d04-p03-slow.mp3,assets/video/level07/day04/l07-d04-p03-scene.mp4,assets/images/video-posters/level07/day04/l07-d04-p03-poster.webp,assets/images/lesson-scenes/level07/day04/l07-d04-p03-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 4: المفروش وغير المفروش. Show a foreign learner respectfully handling this situation: You ask if there is a washing machine.. Visual focus: the phrase 'wash kayna makina dyal s-sabon?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'المفروش وغير المفروش'. Trigger: You ask if there is a washing machine.. Learner says 'wash kayna makina dyal s-sabon?'. Moroccan person replies 'iyeh, kayna w khdama'. End with a clear action showing the practical situation resolved respectfully."
7,4,1,المفروش وغير المفروش,L07-D04-P04,You ask if you can bring your own things.,Can I bring my own things?,n9dr njib hwayji?,نقدر نجيب حوايجي؟,"iyeh, ma kayn moshkil",Ask before moving furniture or adding things to avoid misunderstanding.,n9dr / njib / hwayji,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day04/l07-d04-p04-normal.mp3,assets/audio/level07/day04/l07-d04-p04-slow.mp3,assets/video/level07/day04/l07-d04-p04-scene.mp4,assets/images/video-posters/level07/day04/l07-d04-p04-poster.webp,assets/images/lesson-scenes/level07/day04/l07-d04-p04-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 4: المفروش وغير المفروش. Show a foreign learner respectfully handling this situation: You ask if you can bring your own things.. Visual focus: the phrase 'n9dr njib hwayji?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'المفروش وغير المفروش'. Trigger: You ask if you can bring your own things.. Learner says 'n9dr njib hwayji?'. Moroccan person replies 'iyeh, ma kayn moshkil'. End with a clear action showing the practical situation resolved respectfully."
7,4,1,المفروش وغير المفروش,L07-D04-P05,You ask if anything is missing.,Is anything missing here?,wash kayn shi haja na9sa hna?,واش كاين شي حاجة ناقصة هنا؟,"la, kolshi kayn",This protects you before moving in and before paying deposit.,wash / kayn / shi / haja / na9sa / hna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day04/l07-d04-p05-normal.mp3,assets/audio/level07/day04/l07-d04-p05-slow.mp3,assets/video/level07/day04/l07-d04-p05-scene.mp4,assets/images/video-posters/level07/day04/l07-d04-p05-poster.webp,assets/images/lesson-scenes/level07/day04/l07-d04-p05-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 4: المفروش وغير المفروش. Show a foreign learner respectfully handling this situation: You ask if anything is missing.. Visual focus: the phrase 'wash kayn shi haja na9sa hna?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'المفروش وغير المفروش'. Trigger: You ask if anything is missing.. Learner says 'wash kayn shi haja na9sa hna?'. Moroccan person replies 'la, kolshi kayn'. End with a clear action showing the practical situation resolved respectfully."
7,5,1,العقد والضمان,L07-D05-P01,You ask if there is a contract.,Is there a contract?,wash kayn contrat?,واش كاين كونطرا؟,"iyeh, kayn contrat",A written contract helps avoid confusion in longer stays.,wash / kayn / contrat,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day05/l07-d05-p01-normal.mp3,assets/audio/level07/day05/l07-d05-p01-slow.mp3,assets/video/level07/day05/l07-d05-p01-scene.mp4,assets/images/video-posters/level07/day05/l07-d05-p01-poster.webp,assets/images/lesson-scenes/level07/day05/l07-d05-p01-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 5: العقد والضمان. Show a foreign learner respectfully handling this situation: You ask if there is a contract.. Visual focus: the phrase 'wash kayn contrat?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'العقد والضمان'. Trigger: You ask if there is a contract.. Learner says 'wash kayn contrat?'. Moroccan person replies 'iyeh, kayn contrat'. End with a clear action showing the practical situation resolved respectfully."
7,5,1,العقد والضمان,L07-D05-P02,You ask how much the deposit is.,How much is the deposit?,bsh7al la caution?,بشحال لا كوسيون؟,shhar dyal l-kra,French words like caution/contrat are commonly used in housing.,bsh7al / la / caution,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day05/l07-d05-p02-normal.mp3,assets/audio/level07/day05/l07-d05-p02-slow.mp3,assets/video/level07/day05/l07-d05-p02-scene.mp4,assets/images/video-posters/level07/day05/l07-d05-p02-poster.webp,assets/images/lesson-scenes/level07/day05/l07-d05-p02-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 5: العقد والضمان. Show a foreign learner respectfully handling this situation: You ask how much the deposit is.. Visual focus: the phrase 'bsh7al la caution?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.",Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'العقد والضمان'. Trigger: You ask how much the deposit is.. Learner says 'bsh7al la caution?'. Moroccan person replies 'shhar dyal l-kra'. End with a clear action showing the practical situation resolved respectfully.
