level,day,week,lessonTitleArabic,lessonTitleEnglish,phraseId,friendlyLatin,arabic,english,scenario,possibleMoroccanReply,cultureNote,pronunciationParts,imagePromptSeed,videoActionSeed,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,status
4,3,1,لعبة العرض والرد,Counteroffer Game,L04-D03-P01,andi ghir tmanin dirham,عندي غير تمانين درهم,I only have 80 dirhams.,Say you only have a fixed amount.,"safi, khodha",Use this when you truly have a limit; it can end the bargaining.,andi / ghir / tmanin / dirham,"Realistic Moroccan souk/shopping scene, Level 4 Day 3: لعبة العرض والرد. Show a foreign learner politely handling this situation: Say you only have a fixed amount.. Visual focus: the phrase 'andi ghir tmanin dirham' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.","Short interactive video: learner is in a Moroccan souk/shop during 'لعبة العرض والرد'. Trigger: Say you only have a fixed amount.. Learner says 'andi ghir tmanin dirham'. Moroccan seller replies 'safi, khodha'. End with a clear action showing the shopping interaction resolved.",assets/audio/level04/day03/l04-d03-p01-normal.mp3,assets/audio/level04/day03/l04-d03-p01-slow.mp3,assets/video/level04/day03/l04-d03-p01-scene.mp4,assets/images/video-posters/level04/day03/l04-d03-p01-poster.webp,assets/images/lesson-scenes/level04/day03/l04-d03-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,3,1,لعبة العرض والرد,Counteroffer Game,L04-D03-P02,wach mumkin miya w khamsin?,واش ممكن مية وخمسين؟,Is 150 possible?,Ask if 150 is possible.,dir miya w sebain,Use “mumkin” to soften the offer.,wach mumkin / miya w khamsin?,"Realistic Moroccan souk/shopping scene, Level 4 Day 3: لعبة العرض والرد. Show a foreign learner politely handling this situation: Ask if 150 is possible.. Visual focus: the phrase 'wach mumkin miya w khamsin?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'لعبة العرض والرد'. Trigger: Ask if 150 is possible.. Learner says 'wach mumkin miya w khamsin?'. Moroccan seller replies 'dir miya w sebain'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day03/l04-d03-p02-normal.mp3,assets/audio/level04/day03/l04-d03-p02-slow.mp3,assets/video/level04/day03/l04-d03-p02-scene.mp4,assets/images/video-posters/level04/day03/l04-d03-p02-poster.webp,assets/images/lesson-scenes/level04/day03/l04-d03-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,3,1,لعبة العرض والرد,Counteroffer Game,L04-D03-P03,hada akhir taman dyali,هادا آخر ثمن ديالي,This is my last price.,Say that is your final offer.,wakha,Only use this when you are ready to walk away.,hada / akhir / taman / dyali,"Realistic Moroccan souk/shopping scene, Level 4 Day 3: لعبة العرض والرد. Show a foreign learner politely handling this situation: Say that is your final offer.. Visual focus: the phrase 'hada akhir taman dyali' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'لعبة العرض والرد'. Trigger: Say that is your final offer.. Learner says 'hada akhir taman dyali'. Moroccan seller replies 'wakha'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day03/l04-d03-p03-normal.mp3,assets/audio/level04/day03/l04-d03-p03-slow.mp3,assets/video/level04/day03/l04-d03-p03-scene.mp4,assets/images/video-posters/level04/day03/l04-d03-p03-poster.webp,assets/images/lesson-scenes/level04/day03/l04-d03-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,3,1,لعبة العرض والرد,Counteroffer Game,L04-D03-P04,mahal akhor 3tani nqes,محل آخر عطاني نقص,Another shop gave me less.,Say the other shop had a lower price.,shhal 3tak?,"Comparing prices is normal, but say it calmly.",mahal / akhor / 3tani / nqes,"Realistic Moroccan souk/shopping scene, Level 4 Day 3: لعبة العرض والرد. Show a foreign learner politely handling this situation: Say the other shop had a lower price.. Visual focus: the phrase 'mahal akhor 3tani nqes' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'لعبة العرض والرد'. Trigger: Say the other shop had a lower price.. Learner says 'mahal akhor 3tani nqes'. Moroccan seller replies 'shhal 3tak?'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day03/l04-d03-p04-normal.mp3,assets/audio/level04/day03/l04-d03-p04-slow.mp3,assets/video/level04/day03/l04-d03-p04-scene.mp4,assets/images/video-posters/level04/day03/l04-d03-p04-poster.webp,assets/images/lesson-scenes/level04/day03/l04-d03-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,3,1,لعبة العرض والرد,Counteroffer Game,L04-D03-P05,"wakha, ghadi nakhdo",واخا، غادي ناخدو,"Okay, I will take it.",Accept the price and close.,bssahtk,"Once you agree, do not keep bargaining; it feels disrespectful.",wakha / ghadi nakhdo,"Realistic Moroccan souk/shopping scene, Level 4 Day 3: لعبة العرض والرد. Show a foreign learner politely handling this situation: Accept the price and close.. Visual focus: the phrase 'wakha, ghadi nakhdo' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.","Short interactive video: learner is in a Moroccan souk/shop during 'لعبة العرض والرد'. Trigger: Accept the price and close.. Learner says 'wakha, ghadi nakhdo'. Moroccan seller replies 'bssahtk'. End with a clear action showing the shopping interaction resolved.",assets/audio/level04/day03/l04-d03-p05-normal.mp3,assets/audio/level04/day03/l04-d03-p05-slow.mp3,assets/video/level04/day03/l04-d03-p05-scene.mp4,assets/images/video-posters/level04/day03/l04-d03-p05-poster.webp,assets/images/lesson-scenes/level04/day03/l04-d03-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,4,1,الألوان والشكل,Colors and Style,L04-D04-P01,wach kayn lwn akhor?,واش كاين لون آخر؟,Is there another color?,Ask for another color.,kayn,"Color words help, but pointing is acceptable.",wach / kayn / lwn / akhor?,"Realistic Moroccan souk/shopping scene, Level 4 Day 4: الألوان والشكل. Show a foreign learner politely handling this situation: Ask for another color.. Visual focus: the phrase 'wach kayn lwn akhor?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'الألوان والشكل'. Trigger: Ask for another color.. Learner says 'wach kayn lwn akhor?'. Moroccan seller replies 'kayn'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day04/l04-d04-p01-normal.mp3,assets/audio/level04/day04/l04-d04-p01-slow.mp3,assets/video/level04/day04/l04-d04-p01-scene.mp4,assets/images/video-posters/level04/day04/l04-d04-p01-poster.webp,assets/images/lesson-scenes/level04/day04/l04-d04-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,4,1,الألوان والشكل,Colors and Style,L04-D04-P02,bghit l-khel,بغيت الكحل,I want black.,Ask for black.,hada khel,"In Moroccan Darija, “khel” can mean black/dark.",bghit / l-khel,"Realistic Moroccan souk/shopping scene, Level 4 Day 4: الألوان والشكل. Show a foreign learner politely handling this situation: Ask for black.. Visual focus: the phrase 'bghit l-khel' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'الألوان والشكل'. Trigger: Ask for black.. Learner says 'bghit l-khel'. Moroccan seller replies 'hada khel'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day04/l04-d04-p02-normal.mp3,assets/audio/level04/day04/l04-d04-p02-slow.mp3,assets/video/level04/day04/l04-d04-p02-scene.mp4,assets/images/video-posters/level04/day04/l04-d04-p02-poster.webp,assets/images/lesson-scenes/level04/day04/l04-d04-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,4,1,الألوان والشكل,Colors and Style,L04-D04-P03,wach 3ndk byed?,واش عندك بيض؟,Do you have white?,Ask for white.,3ndi byed,Use “byed” for white; quality and shade can be discussed visually.,wach / 3ndk / byed?,"Realistic Moroccan souk/shopping scene, Level 4 Day 4: الألوان والشكل. Show a foreign learner politely handling this situation: Ask for white.. Visual focus: the phrase 'wach 3ndk byed?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'الألوان والشكل'. Trigger: Ask for white.. Learner says 'wach 3ndk byed?'. Moroccan seller replies '3ndi byed'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day04/l04-d04-p03-normal.mp3,assets/audio/level04/day04/l04-d04-p03-slow.mp3,assets/video/level04/day04/l04-d04-p03-scene.mp4,assets/images/video-posters/level04/day04/l04-d04-p03-poster.webp,assets/images/lesson-scenes/level04/day04/l04-d04-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,4,1,الألوان والشكل,Colors and Style,L04-D04-P04,bghit shi haja basita,بغيت شي حاجة بسيطة,I want something simple.,Ask for something simple.,hadi basita,Good for avoiding overly touristy designs.,bghit / shi / haja / basita,"Realistic Moroccan souk/shopping scene, Level 4 Day 4: الألوان والشكل. Show a foreign learner politely handling this situation: Ask for something simple.. Visual focus: the phrase 'bghit shi haja basita' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'الألوان والشكل'. Trigger: Ask for something simple.. Learner says 'bghit shi haja basita'. Moroccan seller replies 'hadi basita'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day04/l04-d04-p04-normal.mp3,assets/audio/level04/day04/l04-d04-p04-slow.mp3,assets/video/level04/day04/l04-d04-p04-scene.mp4,assets/images/video-posters/level04/day04/l04-d04-p04-poster.webp,assets/images/lesson-scenes/level04/day04/l04-d04-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,4,1,الألوان والشكل,Colors and Style,L04-D04-P05,had l-lwn zwin,هاد اللون زوين,This color is nice.,Say this color is nice.,zwin 3lik,Compliments keep the exchange friendly.,had / l-lwn / zwin,"Realistic Moroccan souk/shopping scene, Level 4 Day 4: الألوان والشكل. Show a foreign learner politely handling this situation: Say this color is nice.. Visual focus: the phrase 'had l-lwn zwin' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'الألوان والشكل'. Trigger: Say this color is nice.. Learner says 'had l-lwn zwin'. Moroccan seller replies 'zwin 3lik'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day04/l04-d04-p05-normal.mp3,assets/audio/level04/day04/l04-d04-p05-slow.mp3,assets/video/level04/day04/l04-d04-p05-scene.mp4,assets/images/video-posters/level04/day04/l04-d04-p05-poster.webp,assets/images/lesson-scenes/level04/day04/l04-d04-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,5,1,المقاس والتجريب,Size and Fit,L04-D05-P01,wach kayn kber?,واش كاين كبر؟,Do you have bigger?,Ask for a bigger size.,kayn,Use gestures with size words to reduce confusion.,wach / kayn / kber?,"Realistic Moroccan souk/shopping scene, Level 4 Day 5: المقاس والتجريب. Show a foreign learner politely handling this situation: Ask for a bigger size.. Visual focus: the phrase 'wach kayn kber?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'المقاس والتجريب'. Trigger: Ask for a bigger size.. Learner says 'wach kayn kber?'. Moroccan seller replies 'kayn'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day05/l04-d05-p01-normal.mp3,assets/audio/level04/day05/l04-d05-p01-slow.mp3,assets/video/level04/day05/l04-d05-p01-scene.mp4,assets/images/video-posters/level04/day05/l04-d05-p01-poster.webp,assets/images/lesson-scenes/level04/day05/l04-d05-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,5,1,المقاس والتجريب,Size and Fit,L04-D05-P02,wach kayn sgher?,واش كاين صغر؟,Do you have smaller?,Ask for a smaller size.,kayn sgher,"Useful for shoes, shirts, and souvenirs.",wach / kayn / sgher?,"Realistic Moroccan souk/shopping scene, Level 4 Day 5: المقاس والتجريب. Show a foreign learner politely handling this situation: Ask for a smaller size.. Visual focus: the phrase 'wach kayn sgher?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'المقاس والتجريب'. Trigger: Ask for a smaller size.. Learner says 'wach kayn sgher?'. Moroccan seller replies 'kayn sgher'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day05/l04-d05-p02-normal.mp3,assets/audio/level04/day05/l04-d05-p02-slow.mp3,assets/video/level04/day05/l04-d05-p02-scene.mp4,assets/images/video-posters/level04/day05/l04-d05-p02-poster.webp,assets/images/lesson-scenes/level04/day05/l04-d05-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,5,1,المقاس والتجريب,Size and Fit,L04-D05-P03,nqdr njerreb?,نقدر نجرب؟,Can I try it?,Ask to try it.,"iyeh, tfdal",Always ask before trying clothes or shoes.,nqdr / njerreb?,"Realistic Moroccan souk/shopping scene, Level 4 Day 5: المقاس والتجريب. Show a foreign learner politely handling this situation: Ask to try it.. Visual focus: the phrase 'nqdr njerreb?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.","Short interactive video: learner is in a Moroccan souk/shop during 'المقاس والتجريب'. Trigger: Ask to try it.. Learner says 'nqdr njerreb?'. Moroccan seller replies 'iyeh, tfdal'. End with a clear action showing the shopping interaction resolved.",assets/audio/level04/day05/l04-d05-p03-normal.mp3,assets/audio/level04/day05/l04-d05-p03-slow.mp3,assets/video/level04/day05/l04-d05-p03-scene.mp4,assets/images/video-posters/level04/day05/l04-d05-p03-poster.webp,assets/images/lesson-scenes/level04/day05/l04-d05-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,5,1,المقاس والتجريب,Size and Fit,L04-D05-P04,dayq 3liya,ضيق عليا,It is tight on me.,Say it is too tight.,nجيب lik kber,Simple fit phrases help in clothing shops.,dayq / 3liya,"Realistic Moroccan souk/shopping scene, Level 4 Day 5: المقاس والتجريب. Show a foreign learner politely handling this situation: Say it is too tight.. Visual focus: the phrase 'dayq 3liya' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'المقاس والتجريب'. Trigger: Say it is too tight.. Learner says 'dayq 3liya'. Moroccan seller replies 'nجيب lik kber'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day05/l04-d05-p04-normal.mp3,assets/audio/level04/day05/l04-d05-p04-slow.mp3,assets/video/level04/day05/l04-d05-p04-scene.mp4,assets/images/video-posters/level04/day05/l04-d05-p04-poster.webp,assets/images/lesson-scenes/level04/day05/l04-d05-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,5,1,المقاس والتجريب,Size and Fit,L04-D05-P05,ja mzyan 3liya,جا مزيان عليا,It fits me well.,Say it fits well.,bssahtk,Use this before discussing final price.,ja / mzyan / 3liya,"Realistic Moroccan souk/shopping scene, Level 4 Day 5: المقاس والتجريب. Show a foreign learner politely handling this situation: Say it fits well.. Visual focus: the phrase 'ja mzyan 3liya' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'المقاس والتجريب'. Trigger: Say it fits well.. Learner says 'ja mzyan 3liya'. Moroccan seller replies 'bssahtk'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day05/l04-d05-p05-normal.mp3,assets/audio/level04/day05/l04-d05-p05-slow.mp3,assets/video/level04/day05/l04-d05-p05-scene.mp4,assets/images/video-posters/level04/day05/l04-d05-p05-poster.webp,assets/images/lesson-scenes/level04/day05/l04-d05-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
