level,levelNameEnglish,levelNameArabic,day,dayTitleArabic,dayTitleEnglish,phraseIndex,phraseId,scenario,friendlyLatin,arabic,english,possibleMoroccanReply,cultureNote,pronunciationParts,status
3,Café & Daily Social Life,المقهى والحياة اليومية,3,الجلوس والطلب من النادل,Sitting and ordering from the waiter,4,L03-D03-P04,You point to an item on the menu.,bghit hadi aafak,بغيت هادي عافاك,"I want this one, please.",wakha,Use hadi when pointing to something visible on a menu or display.,bghit / hadi / aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,3,الجلوس والطلب من النادل,Sitting and ordering from the waiter,5,L03-D03-P05,You confirm the order is complete.,"safi, shukran",صافي، شكرا,"That is all, thank you.",mzyan,Safi is a natural way to close an order.,safi / shukran,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,4,الانتظار والاستفسار بأدب,Waiting and asking politely,1,L03-D04-P01,Your order has not arrived yet.,"smah liya, mazal ma ja talab",سمح ليا، مازال ما جا الطلب,"Excuse me, the order has not come yet.",daba yji,Start with smah liya to avoid sounding impatient.,smah liya / mazal ma ja / talab,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,4,الانتظار والاستفسار بأدب,Waiting and asking politely,2,L03-D04-P02,You ask if the order will take long.,wash ghadi ytawwel?,واش غادي يطول؟,Will it take long?,"la, ghi shwiya",This is a polite way to ask about waiting time.,wash / ghadi / ytawwel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,4,الانتظار والاستفسار بأدب,Waiting and asking politely,3,L03-D04-P03,You accept waiting a little.,"mashi moshkil, nstna shwiya",ماشي مشكل، نستنى شوية,"No problem, I will wait a little.",shukran,Showing patience is appreciated in busy cafés.,mashi moshkil / nstna / shwiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,4,الانتظار والاستفسار بأدب,Waiting and asking politely,4,L03-D04-P04,You need the order soon.,"ila mumkin, jibo daba",إلا ممكن، جيبو دابا,"If possible, bring it now.",wakha,"This is direct, so keep your tone friendly.",ila mumkin / jibo / daba,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,4,الانتظار والاستفسار بأدب,Waiting and asking politely,5,L03-D04-P05,You thank the waiter for handling the delay.,shukran ala s-sbar,شكرا على الصبر,Thank you for the patience.,la shukran ala wajib,A small thank-you can soften a delayed situation.,shukran / ala / s-sbar,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,5,الحساب والبقشيش,Bill and small tip,1,L03-D05-P01,You ask for the bill.,aafak l-hsab,عافاك الحساب,"The bill, please.",hahowa l-hsab,Asking for l-hsab is a very common café sentence.,aafak / l-hsab,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,5,الحساب والبقشيش,Bill and small tip,2,L03-D05-P02,You ask where to pay.,fin nخلص aafak?,فين نخلص عافاك؟,"Where do I pay, please?",tخلص hna,"Some cafés take payment at the table, others at the counter.",fin / nخلص / aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,5,الحساب والبقشيش,Bill and small tip,3,L03-D05-P03,You ask if card payment is possible.,wash nqdr nخلص b carte?,واش نقدر نخلص بالكارت؟,Can I pay by card?,"la, ghi cash","Small cafés may prefer cash, so ask before assuming.",wash nqdr / nخلص / b carte,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,5,الحساب والبقشيش,Bill and small tip,4,L03-D05-P04,You leave the change as a small tip.,khalli l-baqi,خلي الباقي,Keep the change.,shukran bzaf,A small tip is understood when service was good.,khalli / l-baqi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,5,الحساب والبقشيش,Bill and small tip,5,L03-D05-P05,You end the interaction politely.,"shukran, nhark mabrouk",شكرا، نهارك مبروك,"Thank you, have a blessed day.",allah ybarek fik,Nhark mabrouk is warm and polite in daily service settings.,shukran / nhark / mabrouk,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,6,كيف الحال والردود اليومية,How are you and daily replies,1,L03-D06-P01,You ask a friendly “how are you?”.,kidayr?,كيداير؟,How are you?,labas hamdullah,A short how-are-you can open social warmth.,kidayr,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,6,كيف الحال والردود اليومية,How are you and daily replies,2,L03-D06-P02,You reply that you are fine.,"ana bikhir, hamdullah",أنا بخير، الحمد لله,"I am fine, thank God.",hamdullah,Hamdullah is a common natural part of positive replies.,ana bikhir / hamdullah,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,6,كيف الحال والردود اليومية,How are you and daily replies,3,L03-D06-P03,You ask the same back.,nta kidayr?,نتا كيداير؟,How are you?,bikhir,Asking back keeps the exchange balanced.,nta / kidayr,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,6,كيف الحال والردود اليومية,How are you and daily replies,4,L03-D06-P04,You say everything is fine.,kolshi bikhir,كلشي بخير,Everything is fine.,mzyan,Short reassurance is useful when people ask about you.,kolshi / bikhir,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,6,كيف الحال والردود اليومية,How are you and daily replies,5,L03-D06-P05,You thank the person warmly.,llah ykhalik,الله يخليك,May God keep you.,amin,This phrase is a warm Moroccan way to thank or appreciate someone.,llah / ykhalik,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,7,مراجعة أسبوع 1: مقهى سريع,Week 1 review: quick café flow,1,L03-D07-P01,You open a café interaction politely.,"salam, kayna blasa?",سلام، كاينة بلاصة؟,"Hello, is there a place?","iyeh, tfdal","Review: seat first, then order.",salam / kayna blasa,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,7,مراجعة أسبوع 1: مقهى سريع,Week 1 review: quick café flow,2,L03-D07-P02,You order tea.,bghit wahed atay,بغيت واحد أتاي,I want one tea.,wakha,Review: one clear drink order.,bghit / wahed atay,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,7,مراجعة أسبوع 1: مقهى سريع,Week 1 review: quick café flow,3,L03-D07-P03,You say you will wait.,"mashi moshkil, nstna",ماشي مشكل، نستنى,"No problem, I will wait.",shukran,Review: patience phrase.,mashi moshkil / nstna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,7,مراجعة أسبوع 1: مقهى سريع,Week 1 review: quick café flow,4,L03-D07-P04,You ask for the bill.,aafak l-hsab,عافاك الحساب,"The bill, please.",hahowa,Review: close the café visit.,aafak / l-hsab,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,7,مراجعة أسبوع 1: مقهى سريع,Week 1 review: quick café flow,5,L03-D07-P05,You end politely.,"shukran, bslama",شكرا، بسلامة,"Thank you, goodbye.",bslama,Review: end the moment clearly.,shukran / bslama,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,8,الطقس والحرارة والبرد,"Weather, heat, and cold",1,L03-D08-P01,You start small talk about nice weather.,l-jaw zwin lyom,الجو زوين اليوم,The weather is nice today.,"iyeh, zwin",Weather is a safe low-risk small talk topic.,l-jaw / zwin / lyom,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,8,الطقس والحرارة والبرد,"Weather, heat, and cold",2,L03-D08-P02,You comment that it is hot.,kayn s-skhana bzaf,كاينة السخانة بزاف,It is very hot.,"ah, s-skhana",Heat is common small talk in Moroccan cities.,kayn / s-skhana / bzaf,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,8,الطقس والحرارة والبرد,"Weather, heat, and cold",3,L03-D08-P03,You comment that it is a bit cold.,kayn l-berd shwiya,كاين البرد شوية,It is a little cold.,"iyeh, l-berd",Simple weather comments can start a friendly exchange.,kayn / l-berd / shwiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,8,الطقس والحرارة والبرد,"Weather, heat, and cold",4,L03-D08-P04,You ask if it will rain.,wash ghadi tshte?,واش غادي تشتي؟,Will it rain?,momkin,Ask about rain when planning to walk or sit outside.,wash / ghadi / tshte,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,8,الطقس والحرارة والبرد,"Weather, heat, and cold",5,L03-D08-P05,You ask for a shaded place.,bghit blasa f d-dell,بغيت بلاصة في الظل,I want a place in the shade.,tfdal hna,Shade matters in hot weather cafés and terraces.,bghit / blasa / f d-dell,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,9,الوقت والانتظار والمواعيد,"Time, waiting, and meeting up",1,L03-D09-P01,You ask the time.,shhal f saa daba?,شحال فالساعة دابا؟,What time is it now?,saa khmsa,Time questions are useful for meetups and waiting.,shhal / f saa / daba,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,9,الوقت والانتظار والمواعيد,"Time, waiting, and meeting up",2,L03-D09-P02,You say you will wait here.,ghadi nstna hna,غادي نستنى هنا,I will wait here.,wakha,This helps when meeting someone in a café.,ghadi / nstna / hna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,9,الوقت والانتظار والمواعيد,"Time, waiting, and meeting up",3,L03-D09-P03,You ask how long you should wait.,shhal khasni nstna?,شحال خاصني نستنى؟,How long should I wait?,ghi khms dqayeq,Useful when the waiter or a friend says “wait”.,shhal / khasni / nstna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,9,الوقت والانتظار والمواعيد,"Time, waiting, and meeting up",4,L03-D09-P04,You say you are in a bit of a hurry.,ana mstaajel shwiya,أنا مستعجل شوية,I am in a bit of a hurry.,"wakha, nserعo",Say it politely to avoid sounding rude.,ana / mstaajel / shwiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,9,الوقت والانتظار والمواعيد,"Time, waiting, and meeting up",5,L03-D09-P05,You accept a delay.,"ila late, ma kayn moshkil",إلا تأخر، ما كاين مشكل,"If it is late, no problem.",shukran,A relaxed reply fits Moroccan café timing.,ila late / ma kayn / moshkil,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,10,حديث قصير مع شخص بجانبك,Short talk with someone nearby,1,L03-D10-P01,You ask if the person is from the city.,wash nta mn had l-mdina?,واش نتا من هاد المدينة؟,Are you from this city?,"iyeh, ana mn hna",Ask gently; not everyone wants a long talk.,wash nta / mn had / l-mdina,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,10,حديث قصير مع شخص بجانبك,Short talk with someone nearby,2,L03-D10-P02,You explain that you are new here.,ana jdid hna,أنا جديد هنا,I am new here.,mrehba bik,This explains why you may ask simple questions.,ana / jdid / hna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,10,حديث قصير مع شخص بجانبك,Short talk with someone nearby,3,L03-D10-P03,You compliment the café.,had l-qahwa zwina,هاد القهوة زوينة,This café is nice.,"iyeh, zwina",A compliment is a safe way to open light talk.,had l-qahwa / zwina,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,10,حديث قصير مع شخص بجانبك,Short talk with someone nearby,4,L03-D10-P04,You say you want to speak a little Darija.,bghit nhder shwiya b darija,بغيت نهضر شوية بالدارجة,I want to speak a little Darija.,mzyan bzaf,This invites patience from the listener.,bghit nhder / shwiya / b darija,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,10,حديث قصير مع شخص بجانبك,Short talk with someone nearby,5,L03-D10-P05,You apologize for mistakes.,"ila glt shi haja ghalta, smeh liya",إلا قلت شي حاجة غالطة، سمح ليا,"If I say something wrong, excuse me.",ma kayn moshkil,A humble phrase makes practice feel friendly.,ila glt / shi haja ghalta / smeh liya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,11,طلب كرسي أو طاولة,Asking for a chair or table,1,L03-D11-P01,You ask if a chair is free.,wash had l-korsi khawi?,واش هاد الكرسي خاوي؟,Is this chair free?,"ah, khawi",Ask before taking a chair from another table.,wash / had l-korsi / khawi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,11,طلب كرسي أو طاولة,Asking for a chair or table,2,L03-D11-P02,You ask to take a chair.,nqdr nakhd had l-korsi?,نقدر ناخد هاد الكرسي؟,Can I take this chair?,"iyeh, khdo",This prevents awkwardness in crowded cafés.,nqdr / nakhd / had l-korsi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,11,طلب كرسي أو طاولة,Asking for a chair or table,3,L03-D11-P03,You ask for a table for two.,bghina table l-jouj,بغينا طابلة لجوج,We want a table for two.,tfdlo,Say the number clearly when arriving with someone.,bghina / table / l-jouj,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,11,طلب كرسي أو طاولة,Asking for a chair or table,4,L03-D11-P04,You ask for a table by the window.,bghit table hda sh-shbaak,بغيت طابلة حدا الشباك,I want a table by the window.,ila kayna,Specific seats are fine to request politely.,bghit table / hda / sh-shbaak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,11,طلب كرسي أو طاولة,Asking for a chair or table,5,L03-D11-P05,You confirm the place is good.,had blasa meziana,هاد البلاصة مزيانة,This place is good.,mzyan,A simple confirmation helps end the seating moment.,had blasa / meziana,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,12,طلب السكر أو بدون سكر,"Sugar, milk, and preferences",1,L03-D12-P01,You want no sugar.,bla sokkar aafak,بلا سكر عافاك,"Without sugar, please.",wakha,Sugar levels matter in Moroccan tea and coffee.,bla / sokkar / aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,12,طلب السكر أو بدون سكر,"Sugar, milk, and preferences",2,L03-D12-P02,You want only a little sugar.,shwiya dyal sokkar,شوية ديال السكر,A little sugar.,wakha,Shwiya helps you soften a preference.,shwiya / dyal / sokkar,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,12,طلب السكر أو بدون سكر,"Sugar, milk, and preferences",3,L03-D12-P03,You ask for a little more milk.,zid l-hlib shwiya,زيد الحليب شوية,Add a little milk.,wakha,This is useful for coffee with milk or nass nass.,zid / l-hlib / shwiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,12,طلب السكر أو بدون سكر,"Sugar, milk, and preferences",4,L03-D12-P04,You do not want milk.,ma bghitsh hlib,ما بغيتش حليب,I do not want milk.,wakha,Negatives must be clear when ordering drinks.,ma bghitsh / hlib,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,12,طلب السكر أو بدون سكر,"Sugar, milk, and preferences",5,L03-D12-P05,You confirm the drink is good as it is.,hadi meziana haka,هادي مزيانة هكا,This is good like this.,mzyan,Use haka when the drink is now correct.,hadi / meziana / haka,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,13,مقهى مزدحم أو لا يوجد مكان,Crowded café or no place,1,L03-D13-P01,You ask if there is an empty place.,wash kayna blasa khawya?,واش كاينة بلاصة خاوية؟,Is there an empty place?,ma kaynash daba,Useful when the café is crowded.,wash kayna / blasa / khawya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,13,مقهى مزدحم أو لا يوجد مكان,Crowded café or no place,2,L03-D13-P02,You ask if the café is full.,wash m3mer hna?,واش معمر هنا؟,Is it full here?,"iyeh, m3mer",M3mer means full or crowded in this context.,wash / m3mer / hna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,13,مقهى مزدحم أو لا يوجد مكان,Crowded café or no place,3,L03-D13-P03,You ask if you can wait.,nqdr nstna shwiya?,نقدر نستنى شوية؟,Can I wait a little?,"wakha, stna",Waiting is normal in busy cafés.,nqdr / nstna / shwiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,13,مقهى مزدحم أو لا يوجد مكان,Crowded café or no place,4,L03-D13-P04,You ask to be called when a table opens.,"ila khwat shi table, aayet liya",إلا خوّات شي طابلة، عيط ليا,"If a table becomes free, call me.",wakha,This is casual; use it with a friendly waiter.,ila khwat / shi table / aayet liya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,13,مقهى مزدحم أو لا يوجد مكان,Crowded café or no place,5,L03-D13-P05,You decide to come back later.,"safi, nrja men baad",صافي، نرجع من بعد,"Okay, I will come back later.",mrehba,A clean exit avoids pressure when the place is full.,safi / nrja / men baad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,14,إلغاء طلب أو تغييره,Canceling or changing an order,1,L03-D14-P01,You want to change your order.,bghit nbeddel talab aafak,بغيت نبدل الطلب عافاك,"I want to change the order, please.","wakha, shno bghiti?",Change quickly and politely before preparation finishes.,bghit / nbeddel / talab,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,14,إلغاء طلب أو تغييره,Canceling or changing an order,2,L03-D14-P02,You no longer want that item.,ma bqitsh bghit hadshi,ما بقيتش بغيت هادشي,I no longer want this.,wakha,This is direct; use a soft tone.,ma bqitsh / bghit / hadshi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,14,إلغاء طلب أو تغييره,Canceling or changing an order,3,L03-D14-P03,You switch from coffee to tea.,dir liya atay bla qahwa,دير ليا أتاي بلا قهوة,Make it tea instead of coffee.,wakha,Bla here means instead of or without depending on context.,dir liya / atay / bla qahwa,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,14,إلغاء طلب أو تغييره,Canceling or changing an order,4,L03-D14-P04,You admit you ordered wrongly.,"smah liya, ghalt f talab",سمح ليا، غلطت فالطلب,"Sorry, I made a mistake in the order.",ma kayn moshkil,Taking responsibility makes the change smoother.,smah liya / ghalt / f talab,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,14,إلغاء طلب أو تغييره,Canceling or changing an order,5,L03-D14-P05,You thank them for understanding.,shukran ala tfahom,شكرا على التفهم,Thank you for understanding.,mrehba,Use this when staff accepts a change.,shukran / ala / tfahom,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,15,مدح المكان أو المشروب,Complimenting the place or drink,1,L03-D15-P01,You compliment the tea.,l-atay bnin,الأتاي بنين,The tea is delicious.,bsaha,Food and drink compliments feel warm in Morocco.,l-atay / bnin,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,15,مدح المكان أو المشروب,Complimenting the place or drink,2,L03-D15-P02,You compliment the coffee.,l-qahwa meziana,القهوة مزيانة,The coffee is good.,bsaha,Simple compliments can lead to friendly conversation.,l-qahwa / meziana,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,15,مدح المكان أو المشروب,Complimenting the place or drink,3,L03-D15-P03,You describe the place as calm.,l-blasa haniya,البلاصة هانية,The place is calm.,"iyeh, haniya",Haniya carries a relaxed positive feeling.,l-blasa / haniya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
