level,day,week,dayTitle,phraseCount,contentStatus,simulationFocus,firstPhrase,lastPhrase
12,13,2,خدمة محلية: حمام أو حلاق,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: خدمة محلية: حمام أو حلاق. You handle a local service from request to payment.,wash kayn wa9t daba?,lah y3tik ssa7a
12,14,2,شراء هدية بذكاء,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: شراء هدية بذكاء. You buy a gift and check quality, color, size, and return possibility.",hadi hadiha,glfo mzyan aafak
12,15,3,مشاوير الحي,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: مشاوير الحي. You run errands in a neighborhood: grocery, laundry, recharge, delivery.",fin qreb 7anout?,ghadi nssift l-3onwan f WhatsApp
12,16,3,رحلة جبلية أو قرية,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: رحلة جبلية أو قرية. You go outside the city and communicate respectfully with locals.,wash triq mzyana lyoum?,shukran 3la ma werritina lblasa
12,17,3,مدينة ساحلية ويوم بحر,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: مدينة ساحلية ويوم بحر. You manage a coastal/beach day with safety and local conversation.,wash l-3awm aman lyoum?,l-b7ar zwin lyoum
12,18,3,مشكلة الإنترنت والتليفون,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: مشكلة الإنترنت والتليفون. You solve data, calls, voice notes, and connection problems.",internet d3if,ghadi nssift lik localisation
12,19,3,صيدلية أو طبيب,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: صيدلية أو طبيب. You describe symptoms, ask for medicine, and know when to see a doctor.",kershti katwje3ni,fin qreb clinique?
12,20,3,وثائق ضائعة أو مشكل أمان,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: وثائق ضائعة أو مشكل أمان. You handle lost passport, police, hotel help, and safety.",passport dyali tlf lia,n9dr nakhod rapport maktoub?
12,21,3,إقامة أطول وخدمات الشقة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: إقامة أطول وخدمات الشقة. You manage apartment, bills, neighbors, and repairs.",wash l-kra fih les factures?,t9dr tsift lia copie dyal l-contrat?
12,22,4,اجتماع عمل أو تعاون,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: اجتماع عمل أو تعاون. You handle a practical business meeting politely.,baqin mtlqyin m3a 3shra?,ashno l-khatwa jaya?
12,23,4,الدفع والفاتورة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: الدفع والفاتورة. You manage payment, invoice, bank transfer, and confirmation.",n9dr nkhlles b carte?,t9dr t2akked belli wslek?
12,24,4,تحدي واتساب سريع,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: تحدي واتساب سريع. You handle fast native WhatsApp messages during real logistics.,t9dr tktbha bla voice?,"wakha, ghadi nji f dak l-waqt"
12,25,4,مقطع فيديو أو تعليق محلي,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: مقطع فيديو أو تعليق محلي. You understand short media, comments, and social reactions.",3la ash had video?,wash hadi nokta m7liya?
12,26,4,دعوة وخطة مع أصدقاء,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: دعوة وخطة مع أصدقاء. You accept, adjust, or refuse plans without hurting the relationship.",f sh7al ghadi ntlaqaw kamlin?,ghadi nssift lik mlli nwsel
12,27,4,حل خلاف أو شكاية,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: حل خلاف أو شكاية. You complain, negotiate, and solve problems calmly.",kayn sou2 tafahom,shukran 3la 7ell l-moshkil
12,28,4,محاكاة يوم مدينة كامل,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: محاكاة يوم مدينة كامل. You combine taxi, café, souk, food, and WhatsApp in one day.",lyoum ghadi nakhod taxi w nshreb qahwa w nzor souk,"lyoum kan mofid bzzaf, shukran"
12,29,5,محاكاة سفر بين مدينتين,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: محاكاة سفر بين مدينتين. You manage a multi-city day with luggage, station, arrival, and check-in.",khasni nkhroj bekri ghdda,khlli lia l-bit aafak
12,30,5,الاختبار النهائي: يوم مغربي كامل وحدك,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: الاختبار النهائي: يوم مغربي كامل وحدك. You complete a full Moroccan day using all previous levels without panic.,daba n9der ndabber rasi bo7di,ana wajed l l-mghrib l-7qiqi
